说明：用户奖励 = 0.4 * 系统奖励 - 0.6 * 个体成本惩罚 (其中 个体成本 = 加权归一化时延 + 加权归一化能耗) | 无人机奖励 = 0.3 * 系统奖励 + 0.7 * (接近中心 + 覆盖 + 关联接客 - 越界惩罚 - 碰撞惩罚)
Step,Agent_Type,Agent_ID,System_Reward,System_Cumulative_Reward,Agent_Step_Total_Reward,Agent_Cumulative_Reward,w1_System_Reward,User_Cost_Penalty,Norm_Delay_Ratio,Norm_Energy_Ratio,w_Sys_Part_Reward,Proximity_Reward,Coverage_Reward,Association_Bonus,Boundary_Penalty,Collision_Penalty
0,USER,0,-0.17051425107603485,-0.17051425107603485,-0.5207680706403024,-0.5207680706403024,-0.06820570043041395,-0.45256237020988843,0.5929800448242774,0.03557880268945664,0.0,0.0,0.0,0.0,0.0,0.0
0,USER,1,-0.17051425107603485,-0.17051425107603485,-0.679497474330984,-0.679497474330984,-0.06820570043041395,-0.61129177390057,0.9602249469369012,0.058594676230715584,0.0,0.0,0.0,0.0,0.0,0.0
0,USER,2,-0.17051425107603485,-0.17051425107603485,-0.5624797934331662,-0.5624797934331662,-0.06820570043041395,-0.49427409300275227,0.7771605235892332,0.04662963141535398,0.0,0.0,0.0,0.0,0.0,0.0
0,USER,3,-0.17051425107603485,-0.17051425107603485,-0.5499293864286707,-0.5499293864286707,-0.06820570043041395,-0.48172368599825677,0.7574271792425421,0.045445630754552525,0.0,0.0,0.0,0.0,0.0,0.0
0,USER,4,-0.17051425107603485,-0.17051425107603485,-0.7328065290743341,-0.7328065290743341,-0.06820570043041395,-0.6646008286439201,1.044969856358365,0.06269819138150189,0.0,0.0,0.0,0.0,0.0,0.0
0,USER,5,-0.17051425107603485,-0.17051425107603485,-0.44580456643331345,-0.44580456643331345,-0.06820570043041395,-0.3775988660028995,0.4510006053482642,0.07344226410020738,0.0,0.0,0.0,0.0,0.0,0.0
0,USER,6,-0.17051425107603485,-0.17051425107603485,-0.5187310724258789,-0.5187310724258789,-0.06820570043041395,-0.45052537199546494,0.7083732264079637,0.04250239358447782,0.0,0.0,0.0,0.0,0.0,0.0
0,USER,7,-0.17051425107603485,-0.17051425107603485,-0.3384431946387677,-0.3384431946387677,-0.06820570043041395,-0.27023749420835375,0.4249017204533864,0.02549410322720318,0.0,0.0,0.0,0.0,0.0,0.0
0,USER,8,-0.17051425107603485,-0.17051425107603485,-0.29051769208183004,-0.29051769208183004,-0.06820570043041395,-0.22231199165141607,0.3495471566846165,0.020972829401076993,0.0,0.0,0.0,0.0,0.0,0.0
0,USER,9,-0.17051425107603485,-0.17051425107603485,-0.43259060029488444,-0.43259060029488444,-0.06820570043041395,-0.3643848998644705,0.5729322324913058,0.03437593394947834,0.0,0.0,0.0,0.0,0.0,0.0
0,UAV,0,-0.17051425107603485,-0.17051425107603485,0.12689149170183825,0.12689149170183825,0.0,0.0,0.0,0.0,-0.05115427532281045,0.25435109574949816,0.0,0.0,0.0,0.0
0,UAV,1,-0.17051425107603485,-0.17051425107603485,0.21147747910569412,0.21147747910569412,0.0,0.0,0.0,0.0,-0.05115427532281045,0.2751882206121494,0.0,0.1,0.0,0.0
0,UAV,2,-0.17051425107603485,-0.17051425107603485,0.19267863431083537,0.19267863431083537,0.0,0.0,0.0,0.0,-0.05115427532281045,0.24833272804806544,0.0,0.1,0.0,0.0
1,USER,0,-0.7955603367572498,-0.9660745878332846,-0.8561802652166624,-1.3769483358569647,-0.31822413470289995,-0.5379561305137623,0.6805562225537808,0.06660506982644472,0.0,0.0,0.0,0.0,0.0,0.0
1,USER,1,-0.7955603367572498,-0.9660745878332846,-0.9489396640347152,-1.6284371383656993,-0.31822413470289995,-0.6307155293318153,0.9916910838550557,0.05950146503130334,0.0,0.0,0.0,0.0,0.0,0.0
1,USER,2,-0.7955603367572498,-0.9660745878332846,-1.0594512840955757,-1.6219310775287419,-0.31822413470289995,-0.7412271493926758,1.1654514927557795,0.06992708956534677,0.0,0.0,0.0,0.0,0.0,0.0
1,USER,3,-0.7955603367572498,-0.9660745878332846,-0.7836588632345136,-1.3335882496631843,-0.31822413470289995,-0.4654347285316136,0.7318156108987636,0.043908936653925805,0.0,0.0,0.0,0.0,0.0,0.0
