step,agent_id,agent_type,total_reward,cumulative_reward,system_reward,neg_total_cost,penalty,w1_system,user_cost,neg_w2_cost,w_sys_part,assoc_reward_avg,boundary_pen,collision_pen,uav_individual,w_ind_part
0,0,user,-1.915464789331061,-1.915464789331061,-3.52597542334269,,,-1.4103901693370762,0.8417910333233078,-0.5050746199939847,,,,,,
0,1,user,-1.880028668186078,-1.880028668186078,-3.52597542334269,,,-1.4103901693370762,0.7827308314150031,-0.46963849884900183,,,,,,
0,2,user,-2.9855581787121723,-2.9855581787121723,-3.52597542334269,,,-1.4103901693370762,2.62528001562516,-1.575168009375096,,,,,,
0,3,user,-3.382494459341422,-3.382494459341422,-3.52597542334269,,,-1.4103901693370762,3.286840483340576,-1.9721042900043457,,,,,,
0,4,user,-5.2742342450587385,-5.2742342450587385,-3.52597542334269,,,-1.4103901693370762,6.4397401262027705,-3.863844075721662,,,,,,
0,5,user,-3.064586235922655,-3.064586235922655,-3.52597542334269,,,-1.4103901693370762,2.7569934443092983,-1.6541960665855788,,,,,,
0,6,user,-3.2079871210360595,-3.2079871210360595,-3.52597542334269,,,-1.4103901693370762,2.9959949194983055,-1.7975969516989834,,,,,,
0,7,user,-4.766979594238084,-4.766979594238084,-3.52597542334269,,,-1.4103901693370762,5.594315708168346,-3.3565894249010078,,,,,,
0,8,user,-1.9345977227670543,-1.9345977227670543,-3.52597542334269,,,-1.4103901693370762,0.8736792557166305,-0.5242075534299783,,,,,,
0,9,user,-2.0876480517830576,-2.0876480517830576,-3.52597542334269,,,-1.4103901693370762,1.1287631374099694,-0.6772578824459816,,,,,,
0,10,uav,-0.37903457268869967,-0.37903457268869967,-3.52597542334269,,,,,,-1.057792627002807,,0.0,0.0,0.9696543633058679,0.6787580543141074
0,11,uav,-0.030400235117746588,-0.030400235117746588,-3.52597542334269,,,,,,-1.057792627002807,,0.0,0.0,1.467703416978658,1.0273923918850605
0,12,uav,-0.19881750342949212,-0.19881750342949212,-3.52597542334269,,,,,,-1.057792627002807,,0.0,0.0,1.22710731939045,0.858975123573315
1,0,user,-2.6508434028146604,-4.566308192145721,-3.9808168228861533,,,-1.5923267291544614,1.7641944561003315,-1.058516673660199,,,,,,
1,1,user,-2.1639729603204447,-4.044001628506523,-3.9808168228861533,,,-1.5923267291544614,0.9527437186099723,-0.5716462311659833,,,,,,
1,2,user,-4.380705843005146,-7.366264021717319,-3.9808168228861533,,,-1.5923267291544614,4.6472985230844746,-2.788379113850685,,,,,,
1,3,user,-2.3584284182927426,-5.740922877634165,-3.9808168228861533,,,-1.5923267291544614,1.2768361485638022,-0.7661016891382814,,,,,,
1,4,user,-5.880170398211888,-11.154404643270627,-3.9808168228861533,,,-1.5923267291544614,7.146406115095711,-4.287843669057427,,,,,,
1,5,user,-4.898306091163832,-7.962892327086487,-3.9808168228861533,,,-1.5923267291544614,5.509965603348951,-3.3059793620093703,,,,,,
1,6,user,-2.3006720365249707,-5.508659157561031,-3.9808168228861533,,,-1.5923267291544614,1.180575512284182,-0.7083453073705092,,,,,,
1,7,user,-4.566571536283895,-9.333551130521979,-3.9808168228861533,,,-1.5923267291544614,4.9570746785490565,-2.9742448071294336,,,,,,
1,8,user,-2.2154760335597636,-4.150073756326818,-3.9808168228861533,,,-1.5923267291544614,1.0385821740088368,-0.623149304405302,,,,,,
1,9,user,-4.852534391792705,-6.940182443575763,-3.9808168228861533,,,-1.5923267291544614,5.433679437730406,-3.2602076626382437,,,,,,
1,10,uav,-0.3072566213096465,-0.6862911939983461,-3.9808168228861533,,,,,,-1.1942450468658459,,0.0,0.0,1.2671263222231421,0.8869884255561994
1,11,uav,-0.24069172502389047,-0.27109196014163706,-3.9808168228861533,,,,,,-1.1942450468658459,,0.0,0.0,1.3622190312027935,0.9535533218419554
1,12,uav,-0.2590545730829015,-0.4578720765123936,-3.9808168228861533,,,,,,-1.1942450468658459,,0.0,0.0,1.3359863911184922,0.9351904737829444
2,0,user,-1.7630812080990839,-6.329389400244805,-2.8095238424079465,,,-1.1238095369631786,1.0654527852265088,-0.6392716711359052,,,,,,
2,1,user,-4.592740580052771,-8.636742208559294,-2.8095238424079465,,,-1.1238095369631786,5.781551738482655,-3.4689310430895928,,,,,,
2,2,user,-2.434168094639887,-9.800432116357205,-2.8095238424079465,,,-1.1238095369631786,2.183930929461181,-1.3103585576767085,,,,,,
2,3,user,-2.2267972503496036,-7.967720127983768,-2.8095238424079465,,,-1.1238095369631786,1.838312855644042,-1.1029877133864252,,,,,,
2,4,user,-1.4795734765829165,-12.633978119853545,-2.8095238424079465,,,-1.1238095369631786,0.5929398993662298,-0.3557639396197379,,,,,,
2,5,user,-3.7490819392994617,-11.711974266385948,-2.8095238424079465,,,-1.1238095369631786,4.375454003893805,-2.625272402336283,,,,,,
2,6,user,-2.459534455049752,-7.968193612610783,-2.8095238424079465,,,-1.1238095369631786,2.2262081968109557,-1.3357249180865733,,,,,,
2,7,user,-1.9566320163488218,-11.2901831468708,-2.8095238424079465,,,-1.1238095369631786,1.3880374656427383,-0.832822479385643,,,,,,
2,8,user,-2.177606695467891,-6.327680451794709,-2.8095238424079465,,,-1.1238095369631786,1.7563285975078549,-1.0537971585047128,,,,,,
2,9,user,-1.466986061228646,-8.407168504804408,-2.8095238424079465,,,-1.1238095369631786,0.5719608737757789,-0.3431765242654673,,,,,,
2,10,uav,-0.003929400605348521,-0.6902205946036947,-2.8095238424079465,,,,,,-0.8428571527223839,,0.0,0.0,1.1984682173100507,0.8389277521170354
2,11,uav,0.03680488011241245,-0.2342870800292246,-2.8095238424079465,,,,,,-0.8428571527223839,,0.0,0.0,1.256660046906852,0.8796620328347964
2,12,uav,0.09063817754226988,-0.3672338989701237,-2.8095238424079465,,,,,,-0.8428571527223839,,0.0,0.0,1.3335647575209342,0.9334953302646538
3,0,user,-2.5025980878087446,-8.83198748805355,-3.432259663751946,,,-1.3729038655007786,1.88282370384661,-1.129694222307966,,,,,,
3,1,user,-3.7664169417122526,-12.403159150271547,-3.432259663751946,,,-1.3729038655007786,3.989188460352457,-2.393513076211474,,,,,,
3,2,user,-1.998219474014127,-11.798651590371332,-3.432259663751946,,,-1.3729038655007786,1.0421926808555808,-0.6253156085133484,,,,,,
3,3,user,-2.2433781956157164,-10.211098323599485,-3.432259663751946,,,-1.3729038655007786,1.4507905501915628,-0.8704743301149377,,,,,,
3,4,user,-5.261003470586152,-17.8949815904397,-3.432259663751946,,,-1.3729038655007786,6.480166008475622,-3.888099605085373,,,,,,
3,5,user,-4.739995129942472,-16.45196939632842,-3.432259663751946,,,-1.3729038655007786,5.61181877406949,-3.3670912644416937,,,,,,
3,6,user,-2.4915504084183153,-10.459744021029099,-3.432259663751946,,,-1.3729038655007786,1.8644109048625614,-1.1186465429175367,,,,,,
3,7,user,-1.7162840435238138,-13.006467190394615,-3.432259663751946,,,-1.3729038655007786,0.5723002967050587,-0.34338017802303517,,,,,,
3,8,user,-5.172689098135873,-11.500369549930582,-3.432259663751946,,,-1.3729038655007786,6.332975387725157,-3.7997852326350943,,,,,,
3,9,user,-2.019348466295516,-10.426516971099925,-3.432259663751946,,,-1.3729038655007786,1.077407667991229,-0.6464446007947374,,,,,,
3,10,uav,-0.35553729743497187,-1.0457578920386665,-3.432259663751946,,,,,,-1.0296778991255837,,0.0,0.0,0.9630580024151598,0.6741406016906119
3,11,uav,-0.019466317573461955,-0.25375339760268656,-3.432259663751946,,,,,,-1.0296778991255837,,0.0,0.0,1.4431594022173169,1.0102115815521218
3,12,uav,-0.09128940482661985,-0.45852330379674355,-3.432259663751946,,,,,,-1.0296778991255837,,0.0,0.0,1.3405549918556627,0.9383884942989639
4,0,user,-1.2506104741924196,-10.08259796224597,-2.3048832050328,,,-0.92195328201312,0.5477619869654995,-0.3286571921792997,,,,,,
4,1,user,-3.1405686821140533,-15.5437278323856,-2.3048832050328,,,-0.92195328201312,3.6976923335015552,-2.218615400100933,,,,,,
4,2,user,-4.239904569825306,-16.038556160196638,-2.3048832050328,,,-0.92195328201312,5.52991881302031,-3.317951287812186,,,,,,
4,3,user,-4.131351158647714,-14.342449482247199,-2.3048832050328,,,-0.92195328201312,5.348996461057657,-3.209397876634594,,,,,,
4,4,user,-1.4567214498696215,-19.35170304030932,-2.3048832050328,,,-0.92195328201312,0.891280279760836,-0.5347681678565016,,,,,,
4,5,user,-1.1638439075598979,-17.615813303888316,-2.3048832050328,,,-0.92195328201312,0.40315104257796325,-0.24189062554677793,,,,,,
4,6,user,-1.5497049482705534,-12.009448969299653,-2.3048832050328,,,-0.92195328201312,1.0462527770957226,-0.6277516662574335,,,,,,
4,7,user,-2.9128708254569537,-15.919338015851569,-2.3048832050328,,,-0.92195328201312,3.318195905739723,-1.9909175434438338,,,,,,
4,8,user,-1.4257852130595938,-12.926154762990176,-2.3048832050328,,,-0.92195328201312,0.8397198850774563,-0.5038319310464737,,,,,,
4,9,user,-1.3782019592344859,-11.804718930334412,-2.3048832050328,,,-0.92195328201312,0.7604144620356096,-0.45624867722136575,,,,,,
4,10,uav,0.05542605760415964,-0.9903318344345069,-2.3048832050328,,,,,,-0.6914649615098399,,0.0,0.0,1.0669871701628566,0.7468910191139996
4,11,uav,0.18312179183391342,-0.07063160576877314,-2.3048832050328,,,,,,-0.6914649615098399,,0.0,0.0,1.2494096476339334,0.8745867533437534
4,12,uav,0.1703577498021498,-0.28816555399459376,-2.3048832050328,,,,,,-0.6914649615098399,,0.0,0.0,1.231175301874271,0.8618227113119897
5,0,user,-1.5356733093371615,-11.618271271583131,-2.5432856376764676,,,-1.0173142550705871,0.8639317571109574,-0.5183590542665744,,,,,,
5,1,user,-4.386585964776775,-19.930313797162373,-2.5432856376764676,,,-1.0173142550705871,5.615452849510313,-3.369271709706188,,,,,,
5,2,user,-3.057541584100938,-19.096097744297577,-2.5432856376764676,,,-1.0173142550705871,3.400378881717251,-2.0402273290303508,,,,,,
