step,agent_id,agent_type,total_reward,cumulative_reward,system_reward,neg_total_cost,penalty,w1_system,user_cost,neg_w2_cost,w_sys_part,assoc_reward_avg,boundary_pen,collision_pen,uav_individual,w_ind_part
0,0,user,-1.1240205305287416,-1.1240205305287416,-0.39974061388320237,,,-0.15989624555328097,1.6068738082924345,-0.9641242849754607,,,,,,
0,1,user,-0.6924277102669019,-0.6924277102669019,-0.39974061388320237,,,-0.15989624555328097,0.8875524411893683,-0.5325314647136209,,,,,,
0,2,user,-0.43967089811772175,-0.43967089811772175,-0.39974061388320237,,,-0.15989624555328097,0.46629108760740134,-0.2797746525644408,,,,,,
0,3,user,-0.39175773581131923,-0.39175773581131923,-0.39974061388320237,,,-0.15989624555328097,0.3864358170967304,-0.23186149025803823,,,,,,
0,4,user,-0.34894533862613175,-0.34894533862613175,-0.39974061388320237,,,-0.15989624555328097,0.3150818217880847,-0.1890490930728508,,,,,,
0,5,user,-0.646098089426876,-0.646098089426876,-0.39974061388320237,,,-0.15989624555328097,0.8103364064559918,-0.48620184387359505,,,,,,
0,6,user,-0.2995597832836657,-0.2995597832836657,-0.39974061388320237,,,-0.15989624555328097,0.2327725628839746,-0.13966353773038476,,,,,,
0,7,user,-0.4903413310766029,-0.4903413310766029,-0.39974061388320237,,,-0.15989624555328097,0.5507418092055365,-0.3304450855233219,,,,,,
0,8,user,-0.982969541038828,-0.982969541038828,-0.39974061388320237,,,-0.15989624555328097,1.3717888258092452,-0.8230732954855471,,,,,,
0,9,user,-0.4601073181191861,-0.4601073181191861,-0.39974061388320237,,,-0.15989624555328097,0.5003517876098419,-0.3002110725659051,,,,,,
0,10,uav,0.556179397271361,0.556179397271361,-0.39974061388320237,,,,,,-0.1199221841649607,,0.0,0.0,0.9658594020518882,0.6761015814363217
0,11,uav,0.6116916099704425,0.6116916099704425,-0.39974061388320237,,,,,,-0.1199221841649607,,0.0,0.0,1.045162563050576,0.7316137941354032
0,12,uav,0.7096112287636998,0.7096112287636998,-0.39974061388320237,,,,,,-0.1199221841649607,,0.0,0.0,1.1850477327552293,0.8295334129286605
1,0,user,-0.8697536976287434,-1.993774228157485,-0.3926117419355375,,,-0.157044696774215,1.1878483347575475,-0.7127090008545285,,,,,,
1,1,user,-0.30360510593704076,-0.9960328162039427,-0.3926117419355375,,,-0.157044696774215,0.2442673486047096,-0.14656040916282576,,,,,,
1,2,user,-0.3756562037670331,-0.8153271018847549,-0.3926117419355375,,,-0.157044696774215,0.36435251165469684,-0.2186115069928181,,,,,,
1,3,user,-0.2912339301180672,-0.6829916659293864,-0.3926117419355375,,,-0.157044696774215,0.22364872223975363,-0.13418923334385216,,,,,,
1,4,user,-0.6070902488820524,-0.9560355875081842,-0.3926117419355375,,,-0.157044696774215,0.7500759201797291,-0.4500455521078375,,,,,,
1,5,user,-0.7233613860452104,-1.3694594754720864,-0.3926117419355375,,,-0.157044696774215,0.9438611487849924,-0.5663166892709954,,,,,,
1,6,user,-0.7898481693272994,-1.0894079526109652,-0.3926117419355375,,,-0.157044696774215,1.0546724542551407,-0.6328034725530843,,,,,,
1,7,user,-0.6930659644132249,-1.1834072954898278,-0.3926117419355375,,,-0.157044696774215,0.8933687793983497,-0.5360212676390098,,,,,,
1,8,user,-0.3925894644090225,-1.3755590054478506,-0.3926117419355375,,,-0.157044696774215,0.39257461272467914,-0.23554476763480747,,,,,,
1,9,user,-0.8707849811031374,-1.3308922992223235,-0.3926117419355375,,,-0.157044696774215,1.189567140548204,-0.7137402843289223,,,,,,
