Step,UAV_ID,Pos_X,Pos_Y,Fly_Energy_J,Comp_Energy_J,Total_Energy_J,Cum_Energy_J
0,0,513.7788754284394,847.0435102627679,134.13919931792262,0.06963348234127174,134.20883280026388,134.20883280026388
0,1,201.02497461526258,336.29758331266623,127.77116280707278,0.0,127.77116280707278,127.77116280707278
0,2,788.4718880804161,326.0080687981499,136.73346935526655,0.007601101092027633,136.74107045635859,136.74107045635859
1,0,509.98444798530426,833.0303058827124,136.0098489188663,0.0,136.0098489188663,270.2186817191302
1,1,203.53602431681168,350.55094014347185,135.80299869882387,0.30526223307971,136.10826093190357,263.87942373897636
1,2,775.1267715997731,330.1773854588127,133.68142856356653,0.11755202459226322,133.7989805881588,270.5400510445174
2,0,511.4631407934667,829.570996229129,152.31894283371312,0.0,152.31894283371312,422.53762455284334
2,1,209.89431723003008,358.37931432272796,125.96022078417104,0.0,125.96022078417104,389.8396445231474
2,2,760.6733544325305,330.82143827662463,135.77969915072467,0.03174225240671781,135.8114414031314,406.35149244764875
3,0,508.52647326866526,814.9260489513404,138.03777437582733,0.144345859818341,138.18212023564567,560.719744788489
3,1,219.6498418099138,367.0881275397434,130.44381040337655,0.42033752920108836,130.86414793257762,520.7037924557251
3,2,745.8944868739767,332.11167277461385,137.52953438405578,0.13843461178308114,137.66796899583886,544.0194614434877
4,0,510.72592211199395,800.5207774921181,136.26276642077553,0.0,136.26276642077553,696.9825112092645
4,1,231.5840792171849,375.803212781726,137.24648611864262,0.14112856618281341,137.38761468482542,658.0914071405505
4,2,735.6753531832042,332.34052599777453,125.94849701117113,0.09640079971775804,126.04489781088888,670.0643592543765
5,0,506.75321175579796,790.2949288098289,126.26347968224341,0.2045269133918123,126.46800659563523,823.4505178048997
5,1,241.2941980515149,368.9205809708418,127.52414885448603,0.15866371955962952,127.68281257404566,785.7742197145961
5,2,722.2796765757964,332.49448506021565,131.48931010149312,0.12135698996586057,131.61066709145896,801.6750263458355
6,0,508.3920349129196,776.706522958614,132.53282714680196,0.03670212607835191,132.56952927288032,956.0200470777801
6,1,250.07847624908698,373.25623131243384,126.0572335189867,0.13245977424303576,126.18969329322974,911.9639130078259
6,2,710.2441987384631,339.81436380521,134.11479501240552,0.0,134.11479501240552,935.7898213582409
7,0,504.0069326785611,764.111204483258,131.28561566123076,0.0,131.28561566123076,1087.3056627390108
7,1,253.60445996090277,387.56078248443384,137.0275004119502,0.0,137.0275004119502,1048.991413419776
7,2,698.3050810453863,346.9100336787812,133.3097923844874,0.3418694659904736,133.65166185047786,1069.4414832087189
