Step,Sys_Time_Cost,Sys_Energy_J,Cum_Sys_Time_Cost,Cum_Sys_Energy_J,Objective_Value_Cost,mu_L,mu_E
0,29.643123489621523,409.9614807466029,29.643123489621523,409.9614807466029,234.62386386292297,1.0,0.5
1,21.166430071501946,412.48374176867225,50.809553561123465,822.4452225152752,227.40830095583806,1.0,0.5
2,23.15381299200049,409.6622886634721,73.96336655312396,1232.1075111787472,227.98495732373655,1.0,0.5
3,23.440287900074026,411.66887872177944,97.40365445319799,1643.7763899005267,229.27472726096374,1.0,0.5
4,26.145082507699346,406.0157362173085,123.54873696089733,2049.7921261178353,229.1529506163536,1.0,0.5
5,42.148418299282234,393.6081164343705,165.69715526017956,2443.400242552206,238.9524765164675,1.0,0.5
6,22.113276722488056,404.14991044347386,187.8104319826676,2847.5501529956796,224.18823194422498,1.0,0.5
7,24.910019610197942,411.6653585270175,212.72045159286554,3259.215511522697,230.74269887370667,1.0,0.5
8,26.784338918112404,402.07389440250535,239.50479051097795,3661.289405925202,227.82128611936508,1.0,0.5
9,28.309506667064664,419.02910721142985,267.81429717804264,4080.3185131366317,237.82406027277958,1.0,0.5
10,24.31609519051555,409.55604282971416,292.1303923685582,4489.874555966346,229.09411660537262,1.0,0.5
11,23.08378628562817,392.60997727570276,315.21417865418636,4882.484533242048,219.38877492347956,1.0,0.5
12,20.988389838588837,391.13317150657224,336.2025684927752,5273.617704748621,216.55497559187495,1.0,0.5
13,26.257886509347642,424.02275179712,362.46045500212284,5697.640456545741,238.26926240790766,1.0,0.5
14,30.75927532831658,402.58609269638646,393.2197303304394,6100.226549242127,232.05232167650982,1.0,0.5
15,21.349372609547682,397.2854753864827,414.5691029399871,6497.51202462861,219.99211030278903,1.0,0.5
16,14.596588789483462,396.5683360865013,429.16569172947055,6894.080360715111,212.8807568327341,1.0,0.5
17,23.098582264593336,394.3327054558947,452.2642739940639,7288.413066171006,220.2649349925407,1.0,0.5
18,24.07383372679507,429.3425447034841,476.33810772085894,7717.75561087449,238.74510607853713,1.0,0.5
19,30.417714612296344,396.2369804386249,506.75582233315527,8113.992591313116,228.5362048316088,1.0,0.5
20,20.28647949488727,391.1723441061675,527.0423018280426,8505.164935419283,215.872651547971,1.0,0.5
21,25.147685443044725,406.63204806969,552.1899872710873,8911.796983488974,228.46370947788972,1.0,0.5
22,22.530574849777405,409.10394130102975,574.7205621208647,9320.900924790003,227.08254550029227,1.0,0.5
23,22.296110591572887,380.57942225706364,597.0166727124375,9701.480347047067,212.58582172010472,1.0,0.5
24,26.22374656583366,428.88531444153807,623.2404192782711,10130.365661488606,240.6664037866027,1.0,0.5
25,20.750170617728376,390.4874543940189,643.9905898959995,10520.853115882624,215.99389781473784,1.0,0.5
26,31.046955430737103,424.03520012009545,675.0375453267366,10944.88831600272,243.06455549078484,1.0,0.5
27,25.535409114305,459.13952405019563,700.5729544410416,11404.027840052915,255.1051711394028,1.0,0.5
28,22.609652240371254,468.05707787919187,723.1826066814128,11872.084917932107,256.6381911799672,1.0,0.5
29,27.6206979388688,386.02039456953537,750.8033046202817,12258.105312501642,220.6308952236365,1.0,0.5
30,25.483101172287228,420.39378924021,776.2864057925689,12678.499101741852,235.67999579239225,1.0,0.5
31,24.265400121977958,445.02825012948165,800.5518059145468,13123.527351871335,246.7795251867188,1.0,0.5
32,38.65897708831841,415.50211626688724,839.2107830028651,13539.029468138222,246.41003522176203,1.0,0.5
33,27.20766827801855,453.8170734381453,866.4184512808837,13992.846541576368,254.11620499709122,1.0,0.5
34,22.38926043722675,400.76623738230677,888.8077117181105,14393.612778958674,222.77237912838012,1.0,0.5
35,33.22345480749543,389.4072571336867,922.0311665256058,14783.02003609236,227.9270833743388,1.0,0.5
36,23.832961975247578,436.1909315569452,945.8641285008534,15219.210967649306,241.92842775372017,1.0,0.5
37,26.619618183196796,411.2899078881151,972.4837466840503,15630.50087553742,232.26457212725435,1.0,0.5
38,38.382698817015154,385.10702534090416,1010.8664455010654,16015.607900878324,230.93621148746723,1.0,0.5
39,21.470412238263908,435.1481335389219,1032.3368577393294,16450.756034417245,239.04447900772487,1.0,0.5
40,21.994374080504137,432.15493788920224,1054.3312318198334,16882.910972306447,238.07184302510527,1.0,0.5
41,21.447337551245862,414.1015625190179,1075.7785693710794,17297.012534825466,228.4981188107548,1.0,0.5
42,20.61168398918365,428.59656057009755,1096.390253360263,17725.609095395565,234.90996427423244,1.0,0.5
43,20.81735208864744,425.22136612541726,1117.2076054489103,18150.83046152098,233.42803515135608,1.0,0.5
44,23.339112961901286,481.30159945874044,1140.5467184108115,18632.132060979722,263.9899126912715,1.0,0.5
45,21.778821831522468,427.2171195341972,1162.325540242334,19059.34918051392,235.38738159862106,1.0,0.5
46,27.426969279611438,440.960374495804,1189.7525095219455,19500.309555009724,247.90715652751342,1.0,0.5
47,23.511948274650887,411.8824030637416,1213.2644577965964,19912.191958073465,229.45314980652168,1.0,0.5
48,36.09719647732353,471.27392475710315,1249.3616542739198,20383.46588283057,271.7341588558751,1.0,0.5
49,41.70258612088203,445.6162779703058,1291.0642403948018,20829.082160800874,264.51072510603495,1.0,0.5
50,19.03425011333406,430.5728005145225,1310.098490508136,21259.654961315395,234.3206503705953,1.0,0.5
