Step,Sys_Time_Cost,Sys_Energy_J,Cum_Sys_Time_Cost,Cum_Sys_Energy_J,Objective_Value_Cost,mu_L,mu_E
0,20.172161583355038,389.9834269997986,20.172161583355038,389.9834269997986,215.16387508325434,1.0,0.5
1,20.395553524800604,388.23410625770646,40.56771510815564,778.217533257505,214.51260665365385,1.0,0.5
2,19.400685815022136,423.18650818523713,59.968400923177775,1201.4040414427423,230.9939399076407,1.0,0.5
3,22.779451425170073,388.39301344517156,82.74785234834785,1589.7970548879139,216.97595814775585,1.0,0.5
4,18.565091961065676,393.9117723933838,101.31294430941352,1983.7088272812975,215.52097815775755,1.0,0.5
5,20.232282580250402,394.9547098683568,121.54522688966392,2378.6635371496545,217.7096375144288,1.0,0.5
6,21.825170086000025,395.6632581895769,143.37039697566394,2774.3267953392315,219.65679918078845,1.0,0.5
7,24.3834360776182,385.47964837430027,167.75383305328214,3159.8064437135317,217.12326026476833,1.0,0.5
8,21.37047620122356,392.170081694348,189.1243092545057,3551.9765254078798,217.45551704839758,1.0,0.5
9,32.25522524952094,423.1288773766516,221.37953450402665,3975.105402784531,243.81966393784674,1.0,0.5
10,22.861824353740854,415.3553706974755,244.2413588577675,4390.4607734820065,230.5395097024786,1.0,0.5
11,24.137013089827494,387.94985241594753,268.378371947595,4778.410625897954,218.11193929780126,1.0,0.5
12,19.275709059186006,406.3019166851043,287.654081006781,5184.712542583058,222.42666740173814,1.0,0.5
13,24.127424021385703,414.29697293667033,311.7815050281667,5599.009515519729,231.27591048972087,1.0,0.5
14,21.346498071348663,389.85238660992184,333.12800309951535,5988.861902129651,216.27269137630958,1.0,0.5
15,23.976393008313288,407.5492722781956,357.1043961078286,6396.411174407846,227.7510291474111,1.0,0.5
16,21.337804318369308,407.6659428911184,378.4422004261979,6804.077117298964,225.1707757639285,1.0,0.5
17,23.13471794675413,421.05160260831764,401.57691837295204,7225.128719907282,233.66051925091296,1.0,0.5
18,37.12228465515822,432.53320070575893,438.6992030281103,7657.661920613041,253.38888500803768,1.0,0.5
19,22.544177481144853,405.48259356458146,461.24338050925513,8063.144514177622,225.2854742634356,1.0,0.5
20,28.08319484713004,390.508933397888,489.32657535638515,8453.65344757551,223.33766154607403,1.0,0.5
21,25.91506664724462,382.1389107036308,515.2416420036297,8835.79235827914,216.98452199906004,1.0,0.5
22,15.579504429213214,408.090387347657,530.821146432843,9243.882745626797,219.6246981030417,1.0,0.5
23,22.766742217008435,442.2342189710293,553.5878886498514,9686.116964597826,243.8838517025231,1.0,0.5
24,19.682124808162655,424.8531336719644,573.2700134580141,10110.97009826979,232.10869164414484,1.0,0.5
25,24.41490077385712,393.654092510789,597.6849142318712,10504.62419078058,221.2419470292516,1.0,0.5
26,20.638289894891848,386.06648988053166,618.323204126763,10890.690680661111,213.67153483515767,1.0,0.5
27,23.543119339277773,393.15911640456187,641.8663234660407,11283.849797065674,220.12267754155872,1.0,0.5
28,25.92223730264158,430.0151046003121,667.7885607686824,11713.864901665986,240.92978960279763,1.0,0.5
29,20.733480865454137,431.2789794370827,688.5220416341365,12145.143881103068,236.37297058399548,1.0,0.5
30,19.462389512592967,428.798746027286,707.9844311467294,12573.942627130353,233.86176252623596,1.0,0.5
31,20.804595828378233,428.98857712628796,728.7890269751076,13002.931204256642,235.29888439152222,1.0,0.5
32,16.144973402972703,420.4001134735788,744.9340003780803,13423.33131773022,226.34503013976212,1.0,0.5
33,21.485592488684976,386.22868793447424,766.4195928667654,13809.560005664694,214.5999364559221,1.0,0.5
34,24.49221270917586,399.49686916745,790.9118055759412,14209.056874832144,224.24064729290086,1.0,0.5
35,22.806254322011366,475.10581907083616,813.7180598979526,14684.16269390298,260.35916385742945,1.0,0.5
36,23.418084617181187,430.0672420945043,837.1361445151338,15114.229935997484,238.45170566443335,1.0,0.5
37,26.946173344484606,401.1583059380514,864.0823178596183,15515.388241935536,227.5253263135103,1.0,0.5
38,18.906770955057933,410.84997112671743,882.9890888146763,15926.238213062254,224.33175651841665,1.0,0.5
39,29.823206727530497,421.0783148070628,912.8122955422068,16347.316527869316,240.3623641310619,1.0,0.5
40,31.137022447712184,407.5450021388855,943.949317989919,16754.861530008202,234.90952351715492,1.0,0.5
41,19.908508615267156,423.8860496313082,963.8578266051861,17178.74757963951,231.85153343092125,1.0,0.5
42,14.770564936592935,397.642858237272,978.628391541779,17576.39043787678,213.59199405522892,1.0,0.5
43,24.51483489262295,431.9044188039015,1003.143226434402,18008.29485668068,240.4670442945737,1.0,0.5
44,22.03819873548747,411.44757827362014,1025.1814251698895,18419.7424349543,227.76198787229754,1.0,0.5
45,18.12416160033359,430.23710358683707,1043.305586770223,18849.979538541138,233.24271339375213,1.0,0.5
46,22.57360962396472,428.5753768599848,1065.8791963941878,19278.554915401124,236.8612980539571,1.0,0.5
47,22.878869369325603,422.66518379602724,1088.7580657635135,19701.22009919715,234.21146126733922,1.0,0.5
48,19.38522680702239,380.5534071332028,1108.143292570536,20081.773506330355,209.66193037362382,1.0,0.5
49,19.770305900415273,405.6123980444846,1127.9135984709512,20487.38590437484,222.5765049226576,1.0,0.5
50,23.123009763545063,457.9371224073048,1151.0366082344963,20945.323026782145,252.09157096719747,1.0,0.5
51,26.59508244923781,463.1772370430391,1177.6316906837342,21408.500263825186,258.18370097075734,1.0,0.5
52,18.928944508120086,393.36959944690426,1196.5606351918543,21801.86986327209,215.6137442315722,1.0,0.5
53,21.63129932244757,386.3777717045816,1218.191934514302,22188.247634976673,214.82018517473838,1.0,0.5
54,25.502358451789227,433.29534778817685,1243.694292966091,22621.54298276485,242.15003234587766,1.0,0.5
55,30.401764244429092,423.51316743950684,1274.0960572105203,23045.056150204357,242.15834796418252,1.0,0.5
56,20.34355410347014,413.41451114390134,1294.4396113139903,23458.47066134826,227.0508096754208,1.0,0.5
57,37.20480598664145,420.1149214090599,1331.6444173006319,23878.585582757318,247.2622666911714,1.0,0.5
58,23.260325716514274,461.32052560469566,1354.904743017146,24339.906108362014,253.9205885188621,1.0,0.5
59,23.88774683387649,444.9211813719944,1378.7924898510225,24784.82728973401,246.3483375198737,1.0,0.5
