Step,User_ID,Latency_s,Association,Offload_Ratio,Energy_J,Cum_Energy_J
0,0,2.9417421128316916,Local,0.0,0.2941742112831691,0.2941742112831691
0,1,4.500711544912837,UAV_1,0.023526151811811214,0.48675252991206497,0.48675252991206497
0,2,1.3003603749470838,Local,0.0,0.13003603749470838,0.13003603749470838
0,3,1.7857879780632129,Local,0.0,0.17857879780632124,0.17857879780632124
0,4,0.9218229749018384,Local,0.0,0.09218229749018382,0.09218229749018382
0,5,2.4944520639036614,UAV_0,0.05102401346999709,0.3108835961484637,0.3108835961484637
0,6,1.552446390991079,Local,0.0,0.15524463909910788,0.15524463909910788
0,7,0.7197975618266742,Local,0.0,0.07197975618266741,0.07197975618266741
0,8,2.5491096977980106,Local,0.0,0.25491096977980104,0.25491096977980104
0,9,1.438666016204065,Local,0.0,0.14386660162040651,0.14386660162040651
1,0,0.6711468044854502,Local,0.0,0.06711468044854502,0.36128889173171413
1,1,1.5616094327127628,Local,0.0,0.15616094327127628,0.6429134731833412
1,2,15.0,UAV_2,0.8531356946892038,4.245051978965621,4.375088016460329
1,3,3.0676322745690827,Local,0.0,0.30676322745690826,0.4853420252632295
1,4,2.060642814490186,Local,0.0,0.2060642814490186,0.2982465789392024
1,5,0.8799743159642267,Local,0.0,0.08799743159642266,0.3988810277448864
1,6,2.4370146281904375,Local,0.0,0.24370146281904373,0.3989461019181516
1,7,2.4520195109408576,Local,0.0,0.2452019510940857,0.3171817072767531
1,8,1.7948277604193406,Local,0.0,0.17948277604193405,0.43439374582173507
1,9,2.3312499298229112,UAV_2,0.020294694346863464,0.30133966055914657,0.44520626217955306
2,0,2.357330840170625,Local,0.0,0.2357330840170625,0.5970219757487767
2,1,1.240051561742937,Local,0.0,0.1240051561742937,0.7669186293576349
2,2,1.4900046729938738,Local,0.0,0.14900046729938737,4.524088483759717
2,3,2.2616776574586894,Local,0.0,0.22616776574586892,0.7115097910090984
2,4,2.307566631973589,Local,0.0,0.23075666319735888,0.5290032421365614
2,5,3.1521827249795513,UAV_2,0.04229830378918892,0.3792496377820675,0.7781306655269539
2,6,0.7059318329037277,Local,0.0,0.07059318329037277,0.4695392852085244
2,7,0.8821122068409993,UAV_0,0.01785326961001517,0.10952230956976607,0.42670401684651915
2,8,2.889770702957194,Local,0.0,0.2889770702957194,0.7233708161174545
2,9,1.9443375329976198,Local,0.0,0.19443375329976195,0.639640015479315
3,0,3.658856416737982,UAV_0,0.6299001749224368,0.6686169824355046,1.2656389581842813
3,1,0.7596666419958298,Local,0.0,0.07596666419958298,0.8428852935572179
3,2,3.1881025275434953,UAV_2,0.22208621273024656,0.7260664847477042,5.250154968507421
3,3,2.594354238366733,UAV_1,0.05431007876886165,0.42975020040555945,1.1412599914146577
3,4,1.5717650833275,Local,0.0,0.15717650833275001,0.6861797504693113
3,5,1.3743488081696411,UAV_2,0.033745523909720535,0.20819831639630237,0.9863289819232562
3,6,4.329264818374855,Local,0.0,0.4329264818374855,0.9024657670460099
3,7,0.7010550920711142,UAV_0,0.07623092169888392,0.1792241977555415,0.6059282146020606
3,8,2.9797561899905256,Local,0.0,0.29797561899905256,1.0213464351165071
3,9,1.208938542830717,Local,0.0,0.12089385428307167,0.7605338697623867
4,0,1.9844703844613503,Local,0.0,0.19844703844613498,1.4640859966304163
4,1,1.2751987612692894,Local,0.0,0.12751987612692894,0.9704051696841468
4,2,3.6816021662612406,Local,0.0,0.368160216626124,5.618315185133545
4,3,2.48484514780651,Local,0.0,0.24848451478065098,1.3897445061953086
4,4,2.6914575653799284,Local,0.0,0.26914575653799283,0.9553255070073041
4,5,2.8344354881710836,Local,0.0,0.2834435488171083,1.2697725307403647
4,6,3.2149493406553473,Local,0.0,0.3214949340655347,1.2239607011115445
4,7,4.068351325891181,Local,0.0,0.4068351325891181,1.0127633471911786
4,8,2.2630102642852767,UAV_1,0.10110593463518493,0.30396529363151303,1.3253117287480203
4,9,4.065100266150125,Local,0.0,0.4065100266150125,1.1670438963773992
5,0,4.603342567155103,UAV_2,0.00382839695267973,0.48663173342743893,1.950717730057855
5,1,2.6926809271495618,Local,0.0,0.26926809271495616,1.239673262399103
5,2,3.9352271698648567,Local,0.0,0.3935227169864856,6.01183790212003
5,3,3.289242648524428,Local,0.0,0.3289242648524428,1.7186687710477515
5,4,2.2740664682309353,Local,0.0,0.2274066468230935,1.1827321538303976
5,5,2.1206643906121476,UAV_2,0.008933077592802442,0.2274252553783089,1.4971977861186736
5,6,1.8594603002902357,Local,0.0,0.18594603002902357,1.4099067311405682
5,7,1.8888592375341644,Local,0.0,0.18888592375341642,1.201649270944595
5,8,2.149774649691387,Local,0.0,0.21497746496913872,1.540289193717159
5,9,1.9130138225977973,Local,0.0,0.19130138225977975,1.358345278637179
6,0,4.188459918967617,UAV_0,0.1293201605127697,1.1279143754999388,3.078632105557794
6,1,1.2071281713277406,Local,0.0,0.12071281713277407,1.360386079531877
6,2,2.6090215344284555,UAV_0,0.13194085176165643,0.5188979637903044,6.5307358659103345
6,3,15.0,UAV_0,0.6093190182729272,5.547572012502325,7.266240783550076
6,4,0.904970414735961,Local,0.0,0.0904970414735961,1.2732291953039938
6,5,2.1264100088909066,UAV_1,0.029689433341236717,0.2661449271557452,1.7633427132744188
6,6,2.0907521811013825,Local,0.0,0.20907521811013824,1.6189819492507065
6,7,1.9252108543355027,Local,0.0,0.19252108543355026,1.3941703563781451
6,8,2.8661403238250887,Local,0.0,0.2866140323825088,1.8269032260996678
6,9,3.39613012078542,Local,0.0,0.339613012078542,1.6979582907157211
7,0,1.5623205730783725,Local,0.0,0.15623205730783724,3.234864162865631
7,1,2.785128251169303,UAV_0,0.012886582996662177,0.30719687695868836,1.6675829564905653
7,2,0.8874111417932894,Local,0.0,0.08874111417932894,6.619476980089663
7,3,13.739339757836008,UAV_0,0.1806520804100663,1.897728834599499,9.163969618149576
7,4,2.311300643015001,Local,0.0,0.23113006430150004,1.5043592596054938
7,5,0.6812666512187304,UAV_0,0.02883041228929465,0.08900759418651377,1.8523503074609327
7,6,0.8871025846589307,Local,0.0,0.08871025846589306,1.7076922077165995
7,7,2.8879139101401767,Local,0.0,0.2887913910140177,1.6829617473921628
7,8,2.7120543320145654,Local,0.0,0.2712054332014565,2.0981086593011242
7,9,1.4398486749707027,UAV_1,0.06013902339295369,0.18864909137584787,1.886607382091569
8,0,1.8932502274221277,Local,0.0,0.18932502274221277,3.424189185607844
8,1,2.1848469246057216,Local,0.0,0.21848469246057214,1.8860676489511374
8,2,2.2376829472588,UAV_2,0.2512260413350827,0.37530922394960414,6.994786204039268
8,3,1.8856264835489949,Local,0.0,0.18856264835489944,9.352532266504475
8,4,1.0471354368758434,Local,0.0,0.10471354368758433,1.6090728032930781
8,5,4.508783307137421,Local,0.0,0.450878330713742,2.3032286381746747
8,6,3.5897002063523065,UAV_2,0.002457240349617929,0.3646772375586868,2.072369445275286
8,7,0.7049910008854678,UAV_0,0.01271995333556774,0.0853752841268285,1.7683370315189912
8,8,3.8855607455505345,UAV_0,0.06566212328829629,0.5752959587715832,2.6734046180727074
8,9,3.2842506958001914,Local,0.0,0.32842506958001905,2.215032451671588
9,0,0.9070191333527534,Local,0.0,0.09070191333527533,3.514891098943119
9,1,4.181653973077185,Local,0.0,0.41816539730771846,2.304233046258856
9,2,0.8603298594769707,Local,0.0,0.08603298594769705,7.080819189986965
9,3,1.350784133993133,UAV_1,0.08407053167707235,0.21806778994345669,9.570600056447931
9,4,2.756612110711028,Local,0.0,0.2756612110711028,1.8847340143641809
9,5,1.9846156604635579,Local,0.0,0.19846156604635576,2.5016902042210303
9,6,1.2345636418881416,Local,0.0,0.12345636418881414,2.1958258094641003
9,7,2.187010640249707,Local,0.0,0.21870106402497067,1.987038095543962
9,8,1.1529332465864603,Local,0.0,0.11529332465864603,2.7886979427313534
