Step,User_ID,Latency_s,Association,Offload_Ratio,Energy_J,Cum_Energy_J
0,0,2.7964757898794748,Local,0.0,0.27964757898794745,0.27964757898794745
0,1,1.4788319195869848,Local,0.0,0.14788319195869848,0.14788319195869848
0,2,3.3264533127888583,Local,0.0,0.3326453312788858,0.3326453312788858
0,3,1.5764962305258075,Local,0.0,0.15764962305258073,0.15764962305258073
0,4,2.2858864127140612,Local,0.0,0.2285886412714061,0.2285886412714061
0,5,1.6735366627389983,Local,0.0,0.1673536662738998,0.1673536662738998
0,6,3.2398764109715406,Local,0.0,0.323987641097154,0.323987641097154
0,7,0.6354618794552741,Local,0.0,0.06354618794552741,0.06354618794552741
0,8,1.6796563344415412,Local,0.0,0.16796563344415413,0.16796563344415413
0,9,1.930977434590388,Local,0.0,0.19309774345903877,0.19309774345903877
1,0,2.0202623168946414,Local,0.0,0.20202623168946415,0.4816738106774116
1,1,4.187441480445344,Local,0.0,0.4187441480445343,0.5666273400032328
1,2,4.389179201275537,Local,0.0,0.43891792012755365,0.7715632514064394
1,3,2.008831566917302,Local,0.0,0.20088315669173015,0.35853277974431086
1,4,2.1693096995146464,Local,0.0,0.21693096995146466,0.44551961122287076
1,5,2.6238268375782408,UAV_2,0.02260831730162397,0.28577058692269036,0.45312425319659017
1,6,2.0576219306685912,Local,0.0,0.20576219306685908,0.5297498341640131
1,7,1.5501545935819099,Local,0.0,0.15501545935819097,0.21856164730371838
1,8,1.3574818982671688,Local,0.0,0.13574818982671685,0.303713823270871
1,9,1.8739467780000258,Local,0.0,0.18739467780000257,0.38049242125904137
2,0,3.054803761642243,Local,0.0,0.3054803761642243,0.7871541868416359
2,1,0.9343753145223622,Local,0.0,0.09343753145223622,0.660064871455469
2,2,0.9575882805872988,Local,0.0,0.09575882805872986,0.8673220794651693
2,3,2.2638015232475643,Local,0.0,0.22638015232475642,0.5849129320690672
2,4,1.0771175838939575,Local,0.0,0.10771175838939576,0.5532313696122665
2,5,0.9727414758086548,UAV_1,0.08526502992373519,0.2067416656650512,0.6598659188616414
2,6,1.05146499055846,Local,0.0,0.10514649905584598,0.634896333219859
2,7,1.7119839464222628,UAV_1,0.06556908298056112,0.25782082726828875,0.4763824745720071
2,8,1.0094327366689204,Local,0.0,0.10094327366689204,0.40465709693776303
2,9,3.1111731838813435,UAV_2,0.022581132641527404,0.26017556562078403,0.6406679868798254
3,0,1.2149601298382993,UAV_0,0.012942597452575089,0.1419181874504253,0.9290723742920611
3,1,2.8091164422042305,UAV_1,0.0042007795045417426,0.2879370810372397,0.9480019524927087
3,2,3.305557846503535,Local,0.0,0.3305557846503535,1.1978778641155228
3,3,4.135156075813185,Local,0.0,0.41351560758131856,0.9984285396503858
3,4,1.2998161984592667,Local,0.0,0.12998161984592665,0.6832129894581931
3,5,0.7591532600461355,UAV_2,0.4332856029123841,0.16187394874375904,0.8217398676054004
3,6,3.204499704464876,Local,0.0,0.3204499704464876,0.9553463036663467
3,7,1.2826807056221132,UAV_0,0.015445892971091326,0.14331557363808148,0.6196980482100886
3,8,2.733011164615359,Local,0.0,0.2733011164615359,0.677958213399299
3,9,1.0773759292531713,Local,0.0,0.10773759292531711,0.7484055798051426
4,0,4.687455778120258,Local,0.0,0.46874557781202575,1.397817952104087
4,1,1.1636632859152378,Local,0.0,0.1163663285915238,1.0643682810842325
4,2,3.5025151521691154,Local,0.0,0.3502515152169115,1.5481293793324342
4,3,1.7817261497273238,Local,0.0,0.17817261497273235,1.176601154623118
4,4,2.785492746090074,Local,0.0,0.2785492746090073,0.9617622640672003
4,5,1.598096039193543,Local,0.0,0.15980960391935425,0.9815494715247547
4,6,1.5168047980637316,Local,0.0,0.15168047980637317,1.1070267834727199
4,7,0.8812638678592932,Local,0.0,0.08812638678592931,0.7078244349960179
4,8,0.9197732134718569,Local,0.0,0.09197732134718568,0.7699355347464847
4,9,2.427985973233656,UAV_2,0.011796605229130694,0.24684076866434276,0.9952463484694853
5,0,2.601545109718831,UAV_0,0.006900546686594435,0.27953641731952567,1.6773543694236126
5,1,1.0878280870929407,Local,0.0,0.10878280870929405,1.1731510897935267
5,2,2.1689100611851067,Local,0.0,0.21689100611851067,1.765020385450945
5,3,1.4987532311840503,Local,0.0,0.14987532311840504,1.3264764777415232
5,4,1.6676962124093646,Local,0.0,0.16676962124093647,1.1285318853081368
5,5,3.4929537575275966,UAV_0,0.024229341656509272,0.40930069074864794,1.3908501622734026
5,6,2.851648887852273,Local,0.0,0.2851648887852272,1.392191672257947
5,7,2.703281920192175,Local,0.0,0.2703281920192175,0.9781526270152354
5,8,3.285956737337435,UAV_1,0.0748326439827911,0.060918882143032774,0.8308544168895174
5,9,2.5537480044781278,UAV_2,0.0004414653824631277,0.25545353066074256,1.250699879130228
6,0,1.474799715780762,UAV_2,0.2435021773758603,0.3021612801749697,1.9795156495985822
6,1,2.8557959672278748,UAV_1,0.02754521763746463,0.30765025782444916,1.4808013476179758
6,2,0.9621012850543358,Local,0.0,0.09621012850543358,1.8612305139563785
6,3,2.0910693160753797,Local,0.0,0.20910693160753793,1.5355834093490612
6,4,1.5116686091929985,Local,0.0,0.15116686091929984,1.2796987462274365
6,5,0.9850306764092365,Local,0.0,0.09850306764092363,1.4893532299143262
6,6,1.2815725612056725,Local,0.0,0.12815725612056725,1.5203489283785143
6,7,1.2191078821536052,Local,0.0,0.12191078821536051,1.100063415230596
6,8,1.0708614818573143,Local,0.0,0.10708614818573141,0.9379405650752488
6,9,1.0581391078542113,Local,0.0,0.1058139107854211,1.356513789915649
7,0,2.680411936688534,UAV_2,0.08133919283357156,0.4839568710059723,2.4634725206045545
7,1,1.6505308699922567,UAV_1,0.42169261439354283,0.3009710043369829,1.7817723519549586
7,2,0.8241986782357232,Local,0.0,0.08241986782357232,1.9436503817799509
7,3,3.835030379081058,Local,0.0,0.38350303790810575,1.919086447257167
7,4,2.286481655914198,Local,0.0,0.2286481655914198,1.5083469118188564
7,5,3.3531036333634643,UAV_2,0.00839763687504633,0.34738206144599815,1.8367352913603243
7,6,2.320101508631971,Local,0.0,0.2320101508631971,1.7523590792417114
