Step,Sys_Time_Cost,Sys_Energy_J,Cum_Sys_Time_Cost,Cum_Sys_Energy_J,Objective_Value_Cost,mu_L,mu_E
0,23.46661144929321,397.77664904326554,23.46661144929321,397.77664904326554,222.35493597092596,1.0,0.5
1,23.135081884064466,394.28429311100194,46.60169333335767,792.0609421542674,220.27722843956545,1.0,0.5
2,22.554781152790866,406.2614578322527,69.15647448614854,1198.3223999865202,225.6855100689172,1.0,0.5
3,21.20878260338349,407.4412314935179,90.36525708953204,1605.763631480038,224.92939835014243,1.0,0.5
4,26.827544163559224,406.9177631504544,117.19280125309126,2012.6813946304924,230.28642573878642,1.0,0.5
5,19.101921658062466,401.9256431490078,136.2947229111537,2414.6070377795004,220.06474323256634,1.0,0.5
6,19.729631305374397,387.21535154427363,156.0243542165281,2801.822389323774,213.3373070775112,1.0,0.5
7,18.496276783709614,406.37836459032445,174.52063100023773,3208.2007539140986,221.68545907887184,1.0,0.5
8,27.822889866752725,427.11643317840935,202.34352086699045,3635.317187092508,241.3811064559574,1.0,0.5
9,23.277375258432244,391.5282592068112,225.6208961254227,4026.845446299319,219.04150486183784,1.0,0.5
10,22.7138284451369,403.2480536518924,248.3347245705596,4430.093499951212,224.3378552710831,1.0,0.5
11,23.50618469875945,391.5357915140132,271.840909269319,4821.629291465225,219.27408045576607,1.0,0.5
12,28.667943908038467,411.75316417941366,300.5088531773575,5233.382455644639,234.5445259977453,1.0,0.5
13,30.017745556400477,395.64195178773826,330.52659873375796,5629.024407432377,227.83872145026962,1.0,0.5
14,23.594118471040908,405.92720198385115,354.1207172047989,6034.951609416228,226.55771946296647,1.0,0.5
15,24.301714683022205,395.91608375889984,378.4224318878211,6430.867693175128,222.25975656247212,1.0,0.5
16,24.772019711498448,401.0632687953125,403.19445159931956,6831.93096197044,225.3036541091547,1.0,0.5
17,18.428930168708312,384.54963473151315,421.62338176802785,7216.480596701953,210.7037475344649,1.0,0.5
18,27.17609897227977,391.3075242599398,448.7994807403076,7607.788120961893,222.82986110224965,1.0,0.5
19,26.593045221783974,392.36677775274444,475.3925259620916,8000.154898714637,222.7764340981562,1.0,0.5
20,21.20924378694108,399.09720657941443,496.6017697490327,8399.252105294052,220.7578470766483,1.0,0.5
21,22.543984584917233,429.19892216466644,519.14575433395,8828.45102745872,237.14344566725046,1.0,0.5
22,20.432775159584253,403.69288371473226,539.5785294935342,9232.14391117345,222.27921701695038,1.0,0.5
23,21.529002413341303,399.9135656703853,561.1075319068756,9632.057476843836,221.48578524853394,1.0,0.5
24,27.905005931810436,426.50516005014913,589.0125378386861,10058.562636893985,241.157585956885,1.0,0.5
25,17.78216204689548,395.7457684540016,606.7946998855815,10454.308405347987,215.6550462738963,1.0,0.5
26,45.27902951732004,414.09256334343644,652.0737294029016,10868.400968691423,252.32531118903825,1.0,0.5
27,21.144062381749023,420.75541351275564,673.2177917846506,11289.156382204179,231.52176913812684,1.0,0.5
28,23.912258268201917,416.5251073100678,697.1300500528524,11705.681489514247,232.17481192323584,1.0,0.5
29,29.91692013811419,430.9644103105618,727.0469701909666,12136.645899824809,245.3991252933951,1.0,0.5
30,24.398303632995248,457.2698278196663,751.4452738239619,12593.915727644475,253.0332175428284,1.0,0.5
31,33.57794853928301,400.3350280114198,785.0232223632449,12994.250755655894,233.7454625449929,1.0,0.5
32,22.309699305265582,384.2069737249658,807.3329216685105,13378.45772938086,214.41318616774848,1.0,0.5
33,17.934236412690932,394.75314251537475,825.2671580812014,13773.210871896234,215.3108076703783,1.0,0.5
34,22.534501482114816,393.92250301613706,847.8016595633162,14167.133374912371,219.49575299018335,1.0,0.5
35,29.464288291712293,415.92258818086185,877.2659478550285,14583.055963093233,237.4255823821432,1.0,0.5
36,26.9872774613445,461.54786057363185,904.253225316373,15044.603823666865,257.7612077481604,1.0,0.5
37,20.99680298051679,434.16465137753295,925.2500282968898,15478.768475044397,238.07912866928325,1.0,0.5
38,22.150728256572236,433.9992639305691,947.4007565534621,15912.767738974966,239.15036022185677,1.0,0.5
39,16.78350998318919,409.3968239172048,964.1842665366513,16322.16456289217,221.4819219417916,1.0,0.5
40,30.2307855195999,423.20577028789,994.4150520562512,16745.37033318006,241.8336706635449,1.0,0.5
41,19.439832458503485,405.3752002738533,1013.8548845147546,17150.745533453915,222.12743259543012,1.0,0.5
42,24.10782514779754,383.15660011504855,1037.9627096625522,17533.902133568965,215.68612520532182,1.0,0.5
43,26.417453062939234,422.11814515281355,1064.3801627254916,17956.02027872178,237.47652563934602,1.0,0.5
44,21.779184549490616,432.63343706119025,1086.159347274982,18388.65371578297,238.09590308008575,1.0,0.5
45,26.98267603670792,382.1591589067921,1113.14202331169,18770.812874689764,218.06225549010395,1.0,0.5
46,23.770148198494443,386.20233507659253,1136.9121715101846,19157.015209766356,216.8713157367907,1.0,0.5
47,27.064723197267213,423.3661905536964,1163.976894707452,19580.381400320053,238.74781847411543,1.0,0.5
