Step,Sys_Time_Cost,Sys_Energy_J,Cum_Sys_Time_Cost,Cum_Sys_Energy_J,Objective_Value_Cost,mu_L,mu_E
0,31.08698181186081,411.8023065802368,31.08698181186081,411.8023065802368,236.9881351019792,1.0,0.5
1,25.046036485161352,411.5381937990257,56.13301829702216,823.3405003792625,230.8151333846742,1.0,0.5
2,24.64649849049584,402.8551822000646,80.779516787518,1226.195682579327,226.07408959052813,1.0,0.5
3,24.581506135320822,401.19739118233167,105.36102292283883,1627.3930737616588,225.18020172648664,1.0,0.5
4,35.812628592234795,407.55581703045107,141.17365151507363,2034.94889079211,239.59053710746034,1.0,0.5
5,22.374998286122906,405.89470604561586,163.54864980119655,2440.8435968377257,225.32235130893085,1.0,0.5
6,25.74232363520492,410.0952419072001,189.29097343640146,2850.9388387449258,230.78994458880496,1.0,0.5
7,21.422620783528338,404.8616598185247,210.7135942199298,3255.8004985634507,223.8534506927907,1.0,0.5
8,21.902122867639193,412.4820703960809,232.615717087569,3668.2825689595315,228.14315806567964,1.0,0.5
9,20.698360232571773,399.43503662678427,253.31407732014077,4067.7176055863156,220.4158785459639,1.0,0.5
10,20.47351100099757,401.23708688700225,273.78758832113834,4468.954692473318,221.0920544444987,1.0,0.5
11,22.908051767517442,408.0762160247262,296.6956400886558,4877.030908498044,226.94615977988053,1.0,0.5
12,21.047861786398226,391.89184068934725,317.74350187505405,5268.922749187391,216.99378213107184,1.0,0.5
13,23.442609166905562,398.1520443527229,341.18611104195963,5667.074793540114,222.518631343267,1.0,0.5
14,23.208247663197096,398.3270424787017,364.3943587051567,6065.401836018816,222.37176890254793,1.0,0.5
15,24.378369258442717,399.9896655635438,388.77272796359944,6465.3915015823595,224.3732020402146,1.0,0.5
16,28.817987853025016,448.9591065790461,417.5907158166244,6914.350608161406,253.29754114254806,1.0,0.5
17,31.13335726453342,394.558312977314,448.7240730811578,7308.90892113872,228.41251375319044,1.0,0.5
18,23.050362247229693,398.11541802804805,471.77443532838754,7707.024339166768,222.1080712612537,1.0,0.5
19,34.42813907775785,406.6128282188821,506.2025744061454,8113.63716738565,237.7345531871989,1.0,0.5
20,20.411592346798674,399.5689579075299,526.6141667529441,8513.20612529318,220.19607130056363,1.0,0.5
21,36.43970189330389,396.5835907892252,563.053868646248,8909.789716082405,234.73149728791648,1.0,0.5
22,23.08913563739245,443.6037524036162,586.1430042836405,9353.393468486021,244.89101183920056,1.0,0.5
23,22.22628780006432,438.3201426755783,608.3692920837049,9791.7136111616,241.38635913785347,1.0,0.5
24,18.836710414278365,442.1696146679379,627.2060024979833,10233.883225829539,239.9215177482473,1.0,0.5
25,17.20410433919891,430.4842374367869,644.4101068371822,10664.367463266326,232.44622305759236,1.0,0.5
26,31.707777490190445,415.17712306407145,676.1178843273726,11079.544586330398,239.29633902222616,1.0,0.5
27,21.622848826513856,432.76674796110643,697.7407331538865,11512.311334291504,238.00622280706708,1.0,0.5
28,25.20086481595417,455.1942479720371,722.9415979698407,11967.50558226354,252.7979888019727,1.0,0.5
29,21.44645034541347,460.68296097617076,744.3880483152542,12428.18854323971,251.78793083349885,1.0,0.5
30,16.480128797299475,454.15966101906406,760.8681771125537,12882.348204258775,243.5599593068315,1.0,0.5
31,20.394356650738974,426.4357473227894,781.2625337632926,13308.783951581565,233.61223031213368,1.0,0.5
32,21.310075610391547,393.27764312447846,802.5726093736841,13702.061594706043,217.94889717263078,1.0,0.5
33,20.479610103239885,437.15060283086547,823.052219476924,14139.212197536908,239.0549115186726,1.0,0.5
34,24.149819619080706,425.984894112875,847.2020390960048,14565.197091649783,237.14226667551821,1.0,0.5
35,24.07553933677925,400.18698177877593,871.277578432784,14965.384073428559,224.16903022616722,1.0,0.5
36,35.22366058936524,470.9807489724918,906.5012390221493,15436.36482240105,270.71403507561115,1.0,0.5
37,27.675579610031853,388.35307772419424,934.1768186321812,15824.717900125244,221.85211847212898,1.0,0.5
38,20.692725518360724,399.4101446171677,954.8695441505419,16224.128044742412,220.39779782694458,1.0,0.5
39,37.931810971967124,438.06846225896425,992.801355122509,16662.196507001376,256.96604210144926,1.0,0.5
40,19.286824765372412,435.9678769311166,1012.0881798878814,17098.164383932493,237.27076323093073,1.0,0.5
41,21.45648134197958,435.47519943329786,1033.544661229861,17533.63958336579,239.1940810586285,1.0,0.5
42,27.250554260406492,429.3577024676833,1060.7952154902675,17962.997285833473,241.92940549424813,1.0,0.5
43,40.699636741703294,461.2748328374457,1101.4948522319708,18424.27211867092,271.33705316042614,1.0,0.5
44,33.070947636394685,462.3389932175224,1134.5657998683655,18886.611111888444,264.24044424515586,1.0,0.5
45,21.046834356793845,384.13284299480483,1155.6126342251594,19270.743954883248,213.11325585419627,1.0,0.5
46,41.612260237796946,398.73714004929366,1197.2248944629564,19669.48109493254,240.98083026244376,1.0,0.5
47,22.47556902436578,425.3470012507101,1219.7004634873222,20094.82809618325,235.14906964972081,1.0,0.5
48,24.168397015167802,466.39009451662093,1243.86886050249,20561.21819069987,257.36344427347825,1.0,0.5
49,18.74694064849687,456.82852675022997,1262.6158011509867,21018.0467174501,247.16120402361184,1.0,0.5
50,24.518989694134774,407.5191263764214,1287.1347908451214,21425.56584382652,228.27855288234548,1.0,0.5
51,32.612151140343194,485.68650208761477,1319.7469419854647,21911.252345914134,275.45540218415056,1.0,0.5
52,17.155299334417958,454.27667001751547,1336.9022413198827,22365.52901593165,244.29363434317568,1.0,0.5
53,25.42922418406493,425.60428152966654,1362.3314655039476,22791.133297461318,238.2313649488982,1.0,0.5
54,26.55400327738161,468.98482445226887,1388.885468781329,23260.118121913587,261.0464155035161,1.0,0.5
55,35.68089757220817,466.6723495812195,1424.5663663535372,23726.790471494805,269.01707236281794,1.0,0.5
56,22.568463497900357,472.7307448302328,1447.1348298514376,24199.52121632504,258.93383591301676,1.0,0.5
57,28.332435357142074,416.77935042691774,1475.4672652085796,24616.300566751957,236.72211057060093,1.0,0.5
58,25.910214173786976,442.5571088186426,1501.3774793823666,25058.8576755706,247.18876858310827,1.0,0.5
59,38.124248387405686,426.74076733988204,1539.5017277697723,25485.598442910483,251.4946320573467,1.0,0.5
