Step,User_ID,Latency_s,Association,Offload_Ratio,Energy_J,Cum_Energy_J
11,1,4.661880520634053,UAV_1,0.005721556796794421,0.4743388165168487,3.909869496482495
11,2,0.7435320145198527,Local,0.0,0.07435320145198526,2.293907734880235
11,3,2.781085085392665,Local,0.0,0.2781085085392665,2.95660355928477
11,4,2.6349714715335923,Local,0.0,0.26349714715335915,2.9491203537271913
11,5,2.3932990943279546,Local,0.0,0.23932990943279542,3.570448723700525
11,6,0.4776137445146556,UAV_1,0.22644016230881195,0.06070027783908609,2.888423773446106
11,7,2.713428861701772,UAV_1,0.010317128523407928,0.2957862684038497,3.1786572891606033
11,8,2.111971623358995,Local,0.0,0.21119716233589947,3.417358374352972
11,9,2.022036923315484,Local,0.0,0.20220369233154842,2.1458098854230947
12,0,4.362680657406249,UAV_0,0.039994616065441954,0.4491079803205431,3.3697545615843083
12,1,1.2907078137666848,UAV_1,0.5745189566292969,0.3155759695222283,4.225445466004723
12,2,2.590437098497613,Local,0.0,0.25904370984976127,2.552951444729996
12,3,1.0210412172943444,Local,0.0,0.10210412172943442,3.058707681014204
12,4,4.287607608269778,Local,0.0,0.4287607608269778,3.377881114554169
12,5,2.718724703054107,UAV_2,0.010522734248375971,0.28157241839556424,3.8520211420960893
12,6,2.3954687945797604,UAV_1,0.0710375052460454,0.24634215640746784,3.1347659298535735
12,7,3.411872127103334,Local,0.0,0.3411872127103333,3.519844501870937
12,8,2.3306046193727843,Local,0.0,0.2330604619372784,3.65041883629025
12,9,1.9101840979414828,UAV_2,0.0795089073006107,0.2239640158274689,2.3697739012505634
13,0,1.5273924850521645,Local,0.0,0.15273924850521645,3.5224938100895247
13,1,2.4980194402677345,UAV_0,0.007228560460100859,0.25149256313214136,4.476938029136865
13,2,1.695990909281945,Local,0.0,0.1695990909281945,2.7225505356581907
13,3,1.2884041144272353,Local,0.0,0.1288404114427235,3.187548092456928
13,4,0.9682532213506648,Local,0.0,0.09682532213506646,3.4747064366892357
