Step,UAV_ID,Pos_X,Pos_Y,Fly_Energy_J,Comp_Energy_J,Total_Energy_J,Cum_Energy_J
0,0,496.27544621928655,847.7416322555362,148.08297241986884,0.4355662987520802,148.51853871862093,148.51853871862093
0,1,195.07828202704005,323.48950848434794,161.4571500830305,0.18122338570212967,161.63837346873265,161.63837346873265
0,2,809.2728892634233,319.53340014118123,128.34923531615945,0.09395639639828382,128.44319171255773,128.44319171255773
1,0,492.30414535469544,844.005442629021,140.6577087634591,0.4396274154884324,141.09733617894756,289.61587489756846
1,1,193.41163768349213,322.50695627468696,163.6670165478051,0.3208540870993459,163.98787063490445,325.6262441036371
1,2,798.6116158176566,320.14377229979624,126.06533065496484,0.14745361445208993,126.21278426941693,254.65597598197468
2,0,499.6229863693264,849.8895247612863,126.36123574657356,0.9903750860476065,127.35161083262116,416.96748573018965
2,1,193.16510376032352,322.08193329596844,168.16634613499014,0.0,168.16634613499014,493.7925902386272
2,2,787.665504219841,327.34070959255206,130.51522568576974,1.2361864415455248,131.75141212731526,386.40738810928997
3,0,501.78039580146094,840.977606873526,126.61226448637917,0.5176549581839077,127.12991944456309,544.0974051747528
3,1,196.15478994767474,324.36407067859943,152.32553242743683,2.742975577800478,155.0685080052373,648.8610982438645
3,2,776.9529435792596,331.0758638382663,126.65655863999747,1.7662702864135702,128.42282892641103,514.830217035701
4,0,504.08615051978535,852.2066142171832,126.81260801003411,0.6185541617892456,127.43116217182336,671.5285673465762
4,1,194.71610814401635,319.4398085499103,142.73830460351488,0.0,142.73830460351488,791.5994028473793
4,2,764.4548889554534,331.1220850657946,128.82210549659732,0.5735575106954911,129.3956630072928,644.2258800429938
5,0,507.7708761063752,856.2745555750034,140.4316498822149,2.5091010983067985,142.9407509805217,814.4693183270979
5,1,189.84390558895177,311.7332408009535,126.67976385992674,0.0,126.67976385992674,918.2791667073061
5,2,766.7413464593253,331.90833476742876,161.12845859132057,0.8511264439627385,161.9795850352833,806.2054650782771
6,0,503.32237490683497,849.4703050689542,128.62851245035353,0.0,128.62851245035353,943.0978307774515
6,1,191.01733795017938,310.9988685382515,165.97156491678402,0.8232047902454456,166.79476970702947,1085.0739364143355
6,2,763.0997116203017,329.5944457619951,148.37580841349234,0.9610480923037403,149.33685650579608,955.5423215840732
7,0,502.7782099596255,852.7351075845661,155.47988962459635,0.0,155.47988962459635,1098.5777204020478
7,1,194.27448707515728,311.5854211639312,155.48194222989733,0.0,155.48194222989733,1240.555878644233
7,2,768.7533856886816,332.89870815585,134.52675366372713,2.7809305587361726,137.3076842224633,1092.8500058065365
8,0,493.8876430980621,851.2947111424518,126.83584188576567,0.0,126.83584188576567,1225.4135622878134
8,1,192.64392202259032,318.71748402327717,131.22091848535138,0.0,131.22091848535138,1371.7767971295843
8,2,756.6526716204546,333.6059927739363,127.95770618443089,1.6251213670466877,129.58282755147758,1222.432833358014
9,0,484.8590362982422,846.4085294508669,125.94933869309725,1.6396830445077457,127.589021737605,1353.0025840254184
