Step,UAV_ID,Pos_X,Pos_Y,Fly_Energy_J,Comp_Energy_J,Total_Energy_J,Cum_Energy_J
0,0,487.7350041868246,843.552296593744,133.18360898837796,0.09196544518110908,133.27557443355906,133.27557443355906
0,1,201.24390090501169,329.05790931522415,137.6748677473235,0.13789356426190072,137.8127613115854,137.8127613115854
0,2,790.2463915371504,325.5114306485333,129.83051769982856,0.016046836334558987,129.84656453616313,129.84656453616313
1,0,487.07086139384273,832.3199281607896,126.5444762969146,0.0,126.5444762969146,259.82005073047367
1,1,210.4301681993375,334.7686317888895,126.14714031857541,0.05315114383456157,126.20029146240996,264.01305277399535
1,2,784.7432014380988,337.43553423745396,130.61793114015924,0.25818655890803266,130.87611769906727,260.7226822352304
2,0,480.6679311733761,821.345415418949,129.362929634067,0.9592126741213277,130.32214230818832,390.14219303866196
2,1,218.9091807199102,333.92352199035986,127.7032725862767,0.0,127.7032725862767,391.71632536027204
2,2,777.619256972528,337.4488780913681,131.9693080926081,0.20445657146380583,132.17376466407188,392.8964468993023
3,0,490.05148308480034,830.4761042212937,130.49222185305968,0.0,130.49222185305968,520.6344148917217
3,1,225.5562873787456,324.96851019498155,126.43509519043823,0.0,126.43509519043823,518.1514205507103
3,2,768.5613132457022,337.7020899932142,126.7566124555722,0.06586172352815128,126.82247417910035,519.7189210784027
4,0,477.56133083257396,825.3303176502855,131.88162924146025,0.13713939835454378,132.0187686398148,652.6531835315365
4,1,230.53885008516895,332.77800130586184,126.49801750435003,0.0,126.49801750435003,644.6494380550604
4,2,767.6216009307981,338.5107933046987,166.46144267592774,0.18289799703698745,166.64434067296472,686.3632617513674
5,0,475.9199501113715,817.7406855688331,129.67581358568214,0.011797818270075684,129.68761140395222,782.3407949354887
5,1,227.99828672022156,341.22674757911494,127.12893319815093,0.1993617862316605,127.3282949843826,771.977733039443
5,2,761.99771765938,339.16278310473496,139.36994750536246,0.049448634596821923,139.41939613995928,825.7826578913267
6,0,470.7781938479467,812.4130012816937,130.89532482643816,0.005735500628769173,130.90106032706692,913.2418552625556
6,1,235.76908687574442,351.97151762775735,131.03006171804347,0.0,131.03006171804347,903.0077947574865
6,2,751.9653864622252,344.3299060942534,126.58291540178156,0.02836428561320304,126.61127968739477,952.3939375787215
7,0,469.9623087458261,798.2396908063615,134.58018711644266,0.04395967805294568,134.6241467944956,1047.8660020570512
7,1,245.941021400884,357.4864627772802,126.96767823736849,0.002417005970324932,126.97009524333882,1029.9778900008253
7,2,744.7549006224044,354.1739650988791,128.13068282365353,0.3511601699107792,128.4818429935643,1080.8757805722857
8,0,475.1530529683605,788.9110446989299,126.06369833826,0.1840807928151974,126.24777913107519,1174.1137811881265
8,1,240.25853759859376,349.3606649503939,126.00513746597565,0.03560382400847454,126.04074128998413,1156.0186312908095
8,2,733.5985581583066,360.47717170391354,129.66231201644536,0.01241999496429399,129.67473201140965,1210.5505125836953
9,0,470.6053146059593,782.8185234861777,130.20195302724605,0.33500238739253557,130.53695541463858,1304.6507366027652
9,1,241.7740984234195,349.7359572664776,165.30430138991076,0.0,165.30430138991076,1321.3229326807202
9,2,727.8681493064491,372.42851967217655,131.00978911429007,0.7353079042961151,131.7450970185862,1342.2956096022815
10,0,464.5523962052662,779.83344220585,133.58202364592634,0.0,133.58202364592634,1438.2327602486914
10,1,247.41216254335936,344.68367834304917,130.31040242250702,0.1698592629362178,130.48026168544325,1451.8031943661636
10,2,718.1242377961491,363.01951282977313,132.01262120652325,1.1223533217903767,133.13497452831362,1475.4305841305952
11,0,462.8996356086405,770.4825496601203,126.26335586266875,0.0,126.26335586266875,1564.4961161113602
