Step,Sys_Time_Cost,Sys_Energy_J,Cum_Sys_Time_Cost,Cum_Sys_Energy_J,Objective_Value_Cost,mu_L,mu_E
0,28.84377521063385,410.41888957439903,28.84377521063385,410.41888957439903,234.05321999783337,1.0,0.5
1,30.0458879489565,400.7341974861761,58.889663159590356,811.1530870605751,230.41298669204454,1.0,0.5
2,23.450657990928015,393.09567283284133,82.34032115051838,1204.2487598934165,219.9984944073487,1.0,0.5
3,34.516121115617146,411.3408899695124,116.85644226613553,1615.5896498629288,240.18656610037334,1.0,0.5
4,23.051461605549928,402.6301160139177,139.90790387168545,2018.2197658768464,224.36651961250877,1.0,0.5
5,25.519240507276272,399.1799349507439,165.4271443789617,2417.39970082759,225.10920798264823,1.0,0.5
6,26.090944282037213,396.998850317017,191.51808866099893,2814.398551144607,224.59036944054571,1.0,0.5
7,23.274960577551685,420.6023785191246,214.79304923855062,3235.0009296637318,233.576149837114,1.0,0.5
8,21.747811655492114,404.0946145101751,236.54086089404274,3639.095544173907,223.79511891057967,1.0,0.5
9,29.301233027423393,403.97426398688543,265.84209392146613,4043.0698081607925,231.2883650208661,1.0,0.5
10,25.343908971985904,396.17780927177074,291.18600289345204,4439.247617432563,223.43281360787128,1.0,0.5
11,26.709862968340996,434.8158678290906,317.895865861793,4874.063485261653,244.1177968828863,1.0,0.5
12,22.61356103536578,404.31387599618324,340.5094268971588,5278.377361257836,224.7704990334574,1.0,0.5
13,18.680548216973218,415.3781788502289,359.189975114132,5693.755540108065,226.36963764208767,1.0,0.5
14,18.432882180595982,404.0641669093753,377.62285729472796,6097.819707017441,220.46496563528362,1.0,0.5
15,23.565648579915738,409.2954949353883,401.1885058746437,6507.115201952829,228.2133960476099,1.0,0.5
16,26.61755656639989,398.4483764239868,427.8060624410436,6905.563578376816,225.8417447783933,1.0,0.5
17,30.25745903108734,402.3594479541732,458.06352147213096,7307.923026330989,231.43718300817395,1.0,0.5
18,22.924831844599954,400.1021188699982,480.9883533167309,7708.025145200987,222.97589127959907,1.0,0.5
19,24.946618336222674,390.4874419432893,505.9349716529536,8098.512587144276,220.19033930786733,1.0,0.5
20,27.864942489255405,385.1262302323305,533.799914142209,8483.638817376606,220.42805760542066,1.0,0.5
21,26.025508093029558,392.60285817212696,559.8254222352385,8876.241675548734,222.32693717909302,1.0,0.5
22,19.117800581542017,390.20129626019525,578.9432228167806,9266.442971808929,214.21844871163964,1.0,0.5
23,31.672221412199452,463.9908752556831,610.61544422898,9730.433847064613,263.667659040041,1.0,0.5
24,17.65393580192358,436.846877417562,628.2693800309036,10167.280724482174,236.07737451070457,1.0,0.5
25,28.301220621525136,404.533582911133,656.5706006524287,10571.814307393308,230.56801207709165,1.0,0.5
26,25.606869741262354,406.2657266495254,682.177470393691,10978.080034042834,228.73973306602505,1.0,0.5
27,25.6756292945715,430.5756361443648,707.8530996882625,11408.6556701872,240.9634473667539,1.0,0.5
28,27.461075976316124,396.6648043712407,735.3141756645787,11805.32047455844,225.79347816193646,1.0,0.5
29,20.17953080143112,418.2855849788906,755.4937064660098,12223.606059537331,229.32232329087643,1.0,0.5
30,26.391115915262386,401.885239003466,781.8848223812722,12625.491298540797,227.33373541699538,1.0,0.5
31,22.36829030975462,414.1603258637632,804.2531126910268,13039.65162440456,229.44845324163623,1.0,0.5
32,16.86150078976879,424.40640474545273,821.1146134807956,13464.058029150012,229.06470316249516,1.0,0.5
33,25.91738398251506,429.1545677029931,847.0319974633106,13893.212596853005,240.4946678340116,1.0,0.5
34,32.803808976858065,438.1392656189024,879.8358064401687,14331.351862471907,251.8734417863093,1.0,0.5
35,37.12753175170951,390.9514079669297,916.9633381918782,14722.303270438837,232.60323573517437,1.0,0.5
36,28.13079707824855,397.6255395286739,945.0941352701267,15119.92880996751,226.9435668425855,1.0,0.5
37,24.66220044846916,412.30593157926336,969.7563357185959,15532.234741546774,230.81516623810083,1.0,0.5
38,32.94130880488342,425.9292688059033,1002.6976445234793,15958.164010352677,245.90594320783507,1.0,0.5
39,24.326046095832567,408.54554459164336,1027.0236906193118,16366.70955494432,228.59881839165425,1.0,0.5
40,29.68874397304415,423.13909492221313,1056.712434592356,16789.848649866533,241.25829143415072,1.0,0.5
41,23.335037868645216,433.8146214819957,1080.0474724610012,17223.66327134853,240.24234860964305,1.0,0.5
42,19.702850052315874,425.70140421676285,1099.750322513317,17649.36467556529,232.5535521606973,1.0,0.5
43,21.50159073044876,387.8642048745391,1121.2519132437658,18037.22888043983,215.4336931677183,1.0,0.5
44,23.074817902317683,388.17292202439245,1144.3267311460834,18425.401802464225,217.1612789145139,1.0,0.5
45,33.820756509785596,466.7457662742734,1178.1474876558689,18892.1475687385,267.1936396469223,1.0,0.5
46,22.147335633181036,440.4326845720958,1200.2948232890499,19332.580253310596,242.36367791922893,1.0,0.5
47,26.70399328061019,419.4405204007093,1226.99881656966,19752.020773711305,236.42425348096486,1.0,0.5
48,21.25398676282644,435.77188169602357,1248.2528033324863,20187.792655407327,239.1399276108382,1.0,0.5
49,19.00839567923929,399.0766371309665,1267.2611990117257,20586.869292538293,218.54671424472255,1.0,0.5
50,27.254950703255442,465.9843552266488,1294.516149714981,21052.853647764943,260.24712831657985,1.0,0.5
51,25.35581895266483,397.3871331282929,1319.871968667646,21450.240780893237,224.04938551681127,1.0,0.5
52,21.321614404057954,457.16428972519157,1341.1935830717039,21907.405070618428,249.90375926665374,1.0,0.5
53,27.48885313728163,417.49242743056453,1368.6824362089856,22324.89749804899,236.2350668525639,1.0,0.5
54,24.20021080476898,403.86562690491024,1392.8826470137546,22728.7631249539,226.1330242572241,1.0,0.5
55,28.546529228247728,428.9107389492033,1421.4291762420023,23157.673863903103,243.00189870284936,1.0,0.5
56,16.09093687302466,446.97389200128356,1437.520113115027,23604.647755904385,239.57788287366645,1.0,0.5
57,23.858406373660753,460.9217133322962,1461.3785194886877,24065.56946923668,254.31926303980885,1.0,0.5
58,23.001394532310837,434.24639561759324,1484.3799140209985,24499.815864854274,240.12459234110744,1.0,0.5
59,27.22143739687597,386.81583112146745,1511.6013514178744,24886.631695975742,220.62935295760968,1.0,0.5
