Step,User_ID,Latency_s,Association,Offload_Ratio,Energy_J,Cum_Energy_J
0,0,2.5346492262831046,UAV_0,0.005064393310640066,0.27243422281737545,0.27243422281737545
0,1,1.0949819929900957,Local,0.0,0.10949819929900956,0.10949819929900956
0,2,3.5327839475568084,Local,0.0,0.3532783947556808,0.3532783947556808
0,3,2.678644019098452,Local,0.0,0.2678644019098452,0.2678644019098452
0,4,3.0154182077439766,Local,0.0,0.3015418207743976,0.3015418207743976
0,5,3.846170771831048,Local,0.0,0.3846170771831048,0.3846170771831048
0,6,4.6749670520604765,UAV_2,0.0037764215188990954,0.4704456506912943,0.4704456506912943
0,7,2.7914541472195844,Local,0.0,0.2791454147219585,0.2791454147219585
0,8,2.025113285440678,Local,0.0,0.2025113285440678,0.2025113285440678
0,9,1.8289018480455808,Local,0.0,0.18289018480455807,0.18289018480455807
1,0,0.9232398853633378,UAV_2,0.0033205793181603984,0.09389359795191791,0.3663278207692934
1,1,2.603363350111459,Local,0.0,0.2603363350111459,0.36983453431015545
1,2,1.4302099785836595,Local,0.0,0.14302099785836592,0.4962993926140467
1,3,2.3779899031604863,Local,0.0,0.23779899031604862,0.5056633922258937
1,4,4.403993088596091,Local,0.0,0.44039930885960904,0.7419411296340066
1,5,3.295170607706218,UAV_0,0.17712628190719396,0.9482763994182628,1.3328934766013676
1,6,0.6849664999836427,Local,0.0,0.06849664999836427,0.5389423006896585
1,7,1.9377011661077501,Local,0.0,0.193770116610775,0.47291553133273345
1,8,2.940084046143769,Local,0.0,0.2940084046143769,0.49651973315844466
1,9,1.0212003906726417,Local,0.0,0.10212003906726415,0.28501022387182223
2,0,15.0,UAV_2,0.5527054450836014,2.355056433840473,2.7213842546097666
2,1,4.381588659859323,UAV_0,0.050805645056328036,0.5450466511983693,0.9148811855085247
2,2,1.4610544226769755,Local,0.0,0.14610544226769753,0.6424048348817443
2,3,1.4933689427534447,Local,0.0,0.14933689427534447,0.6550002865012382
2,4,2.327881336211876,Local,0.0,0.2327881336211876,0.9747292632551943
2,5,1.4830352598117154,UAV_2,0.02150511586014321,0.1787156484410271,1.5116091250423946
2,6,1.0195842119707221,Local,0.0,0.10195842119707221,0.6409007218867308
2,7,1.8547672305922935,Local,0.0,0.18547672305922933,0.6583922543919628
2,8,1.1941112637215903,Local,0.0,0.119411126372159,0.6159308595306037
2,9,1.7419504219218092,UAV_2,0.01889714846767467,0.23605543866468415,0.5210656625365064
3,0,3.1488553450691574,Local,0.0,0.31488553450691575,3.0362697891166825
3,1,3.0454728935366706,Local,0.0,0.304547289353667,1.2194284748621917
