Step,Sys_Time_Cost,Sys_Energy_J,Cum_Sys_Time_Cost,Cum_Sys_Energy_J,Objective_Value_Cost,mu_L,mu_E
0,19.281959855114028,415.16185600808996,19.281959855114028,415.16185600808996,226.862887859159,1.0,0.5
1,22.130076873393033,414.11902274182023,41.41203672850706,829.2808787499102,229.18958824430314,1.0,0.5
2,20.659685290400798,402.5829670458961,62.07172201890786,1231.8638457958064,221.95116881334886,1.0,0.5
3,20.434006840649857,398.0554756098009,82.50572885955772,1629.9193214056072,219.4617446455503,1.0,0.5
4,20.075410713113325,411.2176699373235,102.58113957267105,2041.1369913429307,225.68424568177505,1.0,0.5
5,22.472461141218908,395.13452155716806,125.05360071388995,2436.271512900099,220.03972191980293,1.0,0.5
6,25.06386520115025,408.5274673900885,150.1174659150402,2844.7989802901875,229.3275988961945,1.0,0.5
7,23.657663903845197,409.048337316123,173.7751298188854,3253.8473176063108,228.1818325619067,1.0,0.5
8,21.964831530045018,408.6150894945277,195.73996134893042,3662.4624071008384,226.27237627730887,1.0,0.5
9,27.39229405086975,402.65384847423616,223.13225539980016,4065.1162555750743,228.71921828798781,1.0,0.5
10,21.26414999652284,411.7065961023965,244.396405396323,4476.822851677471,227.11744804772107,1.0,0.5
11,22.593989299271435,402.72149279015173,266.99039469559443,4879.544344467622,223.9547356943473,1.0,0.5
12,27.63007120942805,403.36358875917426,294.62046590502246,5282.907933226797,229.31186558901518,1.0,0.5
13,19.622049682617106,404.51109056849697,314.24251558763956,5687.4190237952935,221.8775949668656,1.0,0.5
14,20.286007170484496,403.4581232236355,334.52852275812404,6090.877147018929,222.01506878230225,1.0,0.5
15,26.45589854394724,403.93792820230334,360.98442130207127,6494.815075221232,228.4248626450989,1.0,0.5
16,26.456663308897177,397.91570075306527,387.44108461096846,6892.730775974298,225.41451368542982,1.0,0.5
17,24.776737642250023,401.48050557855464,412.21782225321846,7294.211281552853,225.51699043152735,1.0,0.5
18,24.895212951968368,434.20708227324747,437.1130352051868,7728.4183638261,241.9987540885921,1.0,0.5
19,20.43297999051176,410.37792391516854,457.54601519569854,8138.796287741268,225.62194194809604,1.0,0.5
20,21.67445323726077,394.6619348638374,479.2204684329593,8533.458222605106,219.00542066917947,1.0,0.5
21,19.044807961070834,413.8090011348167,498.26527639403014,8947.267223739922,225.94930852847918,1.0,0.5
22,18.803514068114737,436.4949528351012,517.0687904621449,9383.762176575023,237.05099048566532,1.0,0.5
