Step,UAV_ID,Pos_X,Pos_Y,Fly_Energy_J,Comp_Energy_J,Total_Energy_J,Cum_Energy_J
0,0,506.7946258854282,851.4985272218116,132.6585966864088,0.060087221262048664,132.71868390767085,132.71868390767085
0,1,200.57706814334276,328.26209168278933,144.13304107316551,0.0,144.13304107316551,144.13304107316551
0,2,803.3251361498221,326.5408507172998,165.3256616820048,0.3021936719374191,165.62785535394224,165.62785535394224
1,0,513.6665766358443,845.6516880597046,126.81208423796737,0.0,126.81208423796737,259.5307681456382
1,1,202.39599937270853,331.3237079468973,153.7375867265995,0.6310280858200384,154.36861481241954,298.501655885585
1,2,796.1190717684728,326.8766620005394,131.61245651495148,0.0,131.61245651495148,297.24031186889374
2,0,512.6522792906007,844.3351551234803,164.89316820744597,0.041976521413875804,164.93514472885985,424.46591287449803
2,1,204.15814110814452,329.57734254973775,160.76602188559858,0.0,160.76602188559858,459.26767777118357
2,2,783.0909838066001,326.93784893572234,130.29292028971784,0.0205997331096104,130.31352002282745,427.5538318917212
3,0,524.7646447268858,840.1133979180769,129.69971273383177,0.06230030011326732,129.76201303394504,554.227925908443
3,1,206.8949019799222,325.26094954334775,142.86574071066786,0.005603899190271108,142.87134460985814,602.1390223810417
3,2,788.3630238434066,318.7841869019191,126.10544456676611,0.14776973670613397,126.25321430347225,553.8070461951934
4,0,520.4385956553324,838.2544457141499,145.60090488057543,0.10134468116789222,145.70224956174332,699.9301754701863
4,1,213.4711918587928,329.75137344531805,129.08385577756127,0.0,129.08385577756127,731.222878158603
4,2,776.2225748587779,319.1469792279191,128.00932225665878,0.4105324641098955,128.41985472076868,682.226900915962
5,0,508.0508846230593,834.7137940295559,129.86269252305073,0.06729136982592063,129.92998389287663,829.860159363063
5,1,215.861621395653,317.7698857394413,128.16415811386366,0.03564091814993527,128.1997990320136,859.4226771906166
5,2,763.9887519876359,319.2757467488762,128.20138707359595,0.21550805294224,128.41689512653818,810.6437960425002
6,0,521.0033162520446,833.65831244673,130.19310595924355,0.05027943524003576,130.2433853944836,960.1035447575466
6,1,210.51250437500616,328.44489821627906,127.59602182720954,0.026648269910879385,127.62267009712042,987.0453472877371
6,2,754.5786324242059,325.6789101970228,126.70372879377325,0.16835198659526385,126.87208078036852,937.5158768228687
7,0,516.0966477106728,833.1643861849158,144.06977056281477,0.17037175284839293,144.24014231566315,1104.3436870732098
7,1,214.28370058839738,323.94215247522567,138.1186191088073,0.0,138.1186191088073,1125.1639663965443
7,2,743.6128364639709,328.5733275684763,126.65191846786207,0.0,126.65191846786207,1064.1677952907307
8,0,510.67172255044926,826.5207734057393,127.58737221399007,0.03168968518008867,127.61906189917015,1231.96274897238
8,1,214.1249953439785,328.4338587831985,147.100020507843,0.0,147.100020507843,1272.2639869043874
8,2,730.4917943760939,328.8850271465028,130.59260349053392,0.06933497293344373,130.66193846346735,1194.829733754198
9,0,503.8997039337098,823.6040490200567,131.00770742789604,0.09799950993636483,131.1057069378324,1363.0684559102124
