Step,Sys_Time_Cost,Sys_Energy_J,Cum_Sys_Time_Cost,Cum_Sys_Energy_J,Objective_Value_Cost,mu_L,mu_E
0,26.753016229478092,408.3359517428594,26.753016229478092,408.3359517428594,230.92099210090777,1.0,0.5
1,21.917626574793836,393.6542336970407,48.67064280427193,801.9901854399001,218.7447434233142,1.0,0.5
2,24.26011078521959,397.9416430539291,72.93075358949152,1199.9318284938292,223.23093231218414,1.0,0.5
3,22.88550034984094,398.7860550964774,95.81625393933246,1598.7178835903067,222.27852789807963,1.0,0.5
4,23.80822606042979,412.61733591995034,119.62447999976224,2011.335219510257,230.11689402040497,1.0,0.5
5,21.01757152177277,396.47821400399505,140.64205152153502,2407.813433514252,219.2566785237703,1.0,0.5
6,19.47861357329771,421.24827899216336,160.12066509483273,2829.0617125064155,230.1027530693794,1.0,0.5
7,17.057492921201657,400.7686956508281,177.1781580160344,3229.8304081572437,217.4418407466157,1.0,0.5
8,22.645193617200174,403.4781607198346,199.82335163323455,3633.3085688770784,224.38427397711746,1.0,0.5
9,25.243218290250297,415.263414869906,225.06656992348485,4048.571983746984,232.8749257252033,1.0,0.5
10,20.873070376208226,401.50874235672364,245.93964029969308,4450.080726103708,221.62744155457005,1.0,0.5
11,25.152569177269218,395.69759859507195,271.0922094769623,4845.77832469878,223.0013684748052,1.0,0.5
12,29.720534866656767,406.44425836561334,300.81274434361904,5252.222583064394,232.94266404946345,1.0,0.5
13,26.29133004689614,406.57446051308153,327.10407439051517,5658.797043577475,229.57856030343692,1.0,0.5
14,26.11489538382341,425.4587851281317,353.2189697743386,6084.255828705607,238.84428794788926,1.0,0.5
15,22.443595029387456,397.23210836125577,375.662564803726,6481.487937066863,221.05964921001535,1.0,0.5
16,21.287776723649124,391.68159386748545,396.95034152737514,6873.169530934349,217.12857365739185,1.0,0.5
17,18.427135587368394,400.394477881172,415.37747711474356,7273.5640088155205,218.6243745279544,1.0,0.5
18,24.283060841403454,400.3987391693577,439.660537956147,7673.962747984879,224.48243042608232,1.0,0.5
19,30.985969159050054,419.60452638847806,470.64650711519704,8093.567274373357,240.7882323532891,1.0,0.5
20,20.28019217656456,391.54283553273814,490.9266992917616,8485.110109906094,216.05160994293362,1.0,0.5
21,28.899625830802968,400.09979688823944,519.8263251225646,8885.209906794335,228.94952427492268,1.0,0.5
22,38.0161943635388,384.4115799327074,557.8425194861035,9269.621486727043,230.2219843298925,1.0,0.5
23,18.90893529806606,430.82216868010465,576.7514547841695,9700.443655407147,234.3200196381184,1.0,0.5
24,29.265116775390958,392.14738666302674,606.0165715595605,10092.591042070173,225.33881010690433,1.0,0.5
25,25.548665192251143,394.3649456792426,631.5652367518117,10486.955987749416,222.73113803187246,1.0,0.5
26,27.704636190720247,393.60831543202994,659.269872942532,10880.564303181445,224.5087939067352,1.0,0.5
27,24.85249185510919,397.6047924374989,684.1223647976411,11278.169095618945,223.65488807385861,1.0,0.5
28,22.455546847417555,398.5505632912407,706.5779116450586,11676.719658910186,221.7308284930379,1.0,0.5
29,21.5839698119908,390.8767426460366,728.1618814570494,12067.596401556222,217.0223411350091,1.0,0.5
30,22.00766567697229,386.98090771222576,750.1695471340216,12454.577309268449,215.49811953308517,1.0,0.5
31,23.090074913193384,391.05562205559494,773.259622047215,12845.632931324044,218.61788594099085,1.0,0.5
32,34.10460958108432,405.3767067986438,807.3642316282993,13251.009638122689,236.79296298040623,1.0,0.5
33,25.067141338558574,402.55341405771156,832.4313729668579,13653.5630521804,226.34384836741435,1.0,0.5
34,23.555940332908147,383.19965844216983,855.987313299766,14036.76271062257,215.15576955399305,1.0,0.5
35,19.192733464462925,414.86152062863346,875.1800467642289,14451.624231251204,226.62349377877965,1.0,0.5
36,22.329362342151565,394.93845824142835,897.5094091063804,14846.562689492632,219.79859146286574,1.0,0.5
37,14.929018605115111,403.4578548001116,912.4384277114955,15250.020544292744,216.6579460051709,1.0,0.5
38,22.825885871137253,403.7197323710001,935.2643135826328,15653.740276663744,224.68575205663728,1.0,0.5
39,38.10705873098805,447.8928982191001,973.3713723136208,16101.633174882845,262.0535078405381,1.0,0.5
40,21.660636547001502,407.2056098336261,995.0320088606222,16508.83878471647,225.26344146381456,1.0,0.5
41,19.971477134025537,446.4143588737165,1015.0034859946478,16955.253143590187,243.1786565708838,1.0,0.5
42,26.516019751973275,437.9331445278616,1041.519505746621,17393.18628811805,245.48259201590406,1.0,0.5
43,25.12246577405375,407.1011664010809,1066.6419715206748,17800.28745451913,228.6730489745942,1.0,0.5
44,19.84257770105071,391.85480050086375,1086.4845492217255,18192.142255019993,215.7699779514826,1.0,0.5
45,25.643780872172577,385.97839713819184,1112.128330093898,18578.120652158184,218.6329794412685,1.0,0.5
46,25.003455462065478,459.6274244402211,1137.1317855559635,19037.748076598404,254.81716768217603,1.0,0.5
47,22.334346935827604,442.88227421089397,1159.466132491791,19480.630350809297,243.77548404127458,1.0,0.5
48,32.458714119150656,419.18456419979935,1191.9248466109418,19899.814915009098,242.05099621905032,1.0,0.5
49,25.939316902339478,402.23712192181426,1217.8641635132813,20302.052036930912,227.0578778632466,1.0,0.5
50,38.37612888903994,409.871606951782,1256.2402924023213,20711.923643882696,243.31193236493093,1.0,0.5
51,26.249712643779127,388.96762911233446,1282.4900050461004,21100.89127299503,220.73352719994637,1.0,0.5
52,23.415468245892978,399.7274685201808,1305.9054732919933,21500.618741515213,223.2792025059834,1.0,0.5
53,24.671352743385388,389.1667194811244,1330.5768260353786,21889.785460996336,219.2547124839476,1.0,0.5
54,21.435054298178727,390.75639553309514,1352.0118803335574,22280.54185652943,216.8132520647263,1.0,0.5
55,28.03710582380166,426.3097647619122,1380.0489861573592,22706.851621291342,241.19198820475776,1.0,0.5
56,33.74106886949587,402.35733616351837,1413.790055026855,23109.20895745486,234.91973695125506,1.0,0.5
57,28.840074412021636,390.90754864515617,1442.6301294388768,23500.116506100014,224.29384873459972,1.0,0.5
58,22.506625813203847,420.545201583314,1465.1367552520805,23920.661707683328,232.77922660486084,1.0,0.5
59,24.393428041541533,394.59629388570204,1489.530183293622,24315.25800156903,221.69157498439256,1.0,0.5
