Step,UAV_ID,Pos_X,Pos_Y,Fly_Energy_J,Comp_Energy_J,Total_Energy_J,Cum_Energy_J
0,0,513.8994393867079,845.1786977332978,136.926701861079,0.0008209870835463731,136.92752284816257,136.92752284816257
0,1,188.83333613639326,337.5330963933092,137.8530215153953,0.06531414308697138,137.91833565848228,137.91833565848228
0,2,788.7869990271488,328.20793970310376,136.75784367604803,0.008146742995604216,136.76599041904362,136.76599041904362
1,0,506.25311531100743,832.3421434058081,138.0623562195531,0.08523738588563474,138.14759360543874,275.0751164536013
1,1,195.636205834011,350.8413539758055,138.0870323716056,0.02493993172861674,138.11197230333423,276.0303079618165
1,2,774.2891533328205,328.6497155604137,135.94864187534878,0.3721993048895249,136.32084118023832,273.08683159928194
2,0,515.4555395242127,820.5985246351376,137.9528623000666,0.04641184247385989,137.9992741425405,413.0743905961418
2,1,198.03200374902588,364.3727120385162,132.74028391512934,0.0,132.74028391512934,408.77059187694584
2,2,761.5036811567916,329.1775964732784,129.61306069745999,0.021791958614338993,129.63485265607432,402.72168425535625
3,0,526.4687830741242,830.2928197647312,136.73556083203437,0.09159788778171948,136.82715871981608,549.9015493159579
3,1,209.77678245497913,373.6470831679838,138.18311555493455,0.0,138.18311555493455,546.9537074318804
3,2,748.297198720307,329.2621184625496,130.85495797263698,0.44910695359667807,131.30406492623365,534.0257491815898
4,0,514.76311848276,821.8117415481414,135.722148895798,0.0010177255261753363,135.72316662132417,685.6247159372821
4,1,218.59263796928812,384.8449948998271,134.81729763876896,0.0035480073189262584,134.8208456460879,681.7745530779682
4,2,737.544565804821,330.20078094478004,126.13193467117098,0.0,126.13193467117098,660.1576838527608
5,0,505.7211010815222,810.7173780139431,135.08224819845026,0.09670232194972349,135.17895052039998,820.8036664576821
5,1,228.9292199226466,373.9991776731699,138.27226238596086,0.0,138.27226238596086,820.0468154639291
5,2,724.3276812323294,331.86473515565876,131.23296434182387,0.003103331849138012,131.236067673673,791.3937515264338
6,0,493.7323161904632,802.3526901912132,136.4802578975448,0.6862034402592766,137.16646133780407,957.9701277954862
6,1,232.1281956626649,388.1293653649274,135.8713742462469,0.0,135.8713742462469,955.918189710176
6,2,714.1252159134555,340.3983540054757,131.16474322895357,0.012402965609501205,131.17714619456308,922.5708977209969
7,0,486.5576089374114,790.7948499137456,132.2247317451796,0.2113781113605802,132.43610985654018,1090.4062376520264
7,1,244.41670886192978,396.5627226136821,137.87375512426783,0.0,137.87375512426783,1093.7919448344437
7,2,717.3805509243425,349.96677511634715,125.95689013340134,0.8675781427062194,126.82446827610757,1049.3953659971044
8,0,481.40750599094173,777.8066487891527,133.64397293411326,0.4695782926746358,134.1135512267879,1224.5197888788143
8,1,253.19074813724643,403.61521594922374,126.55034343809477,0.0,126.55034343809477,1220.3422882725386
8,2,705.4254432880721,352.89343390346625,128.36729367729754,0.0,128.36729367729754,1177.762659674402
9,0,485.0509388292116,764.7001077246626,132.22418369959576,0.9462762468877332,133.17045994648348,1357.6902488252979
9,1,267.8431869892134,406.73365651365697,138.26235605325382,0.020862375280921223,138.28321842853475,1358.6255067010734
9,2,693.8936620829278,356.06996889967144,127.63626987880527,0.1101400527041669,127.74640993150943,1305.5090696059112
10,0,493.7813126074884,752.5728391040348,138.0702774354045,0.0,138.0702774354045,1495.7605262607024
10,1,272.90188793845056,420.71046088143015,137.6738750244706,0.16339893221583165,137.83727395668643,1496.4627806577598
10,2,682.868571294568,362.8474560771938,130.03249677450913,0.8145481579473719,130.8470449324565,1436.3561145383678
11,0,502.0945229989763,741.7196267969059,132.4742222625399,0.3426577405205864,132.8168800030605,1628.577406263763
11,1,282.2910863922863,431.1930150779447,134.05682775185522,0.0,134.05682775185522,1630.519608409615
11,2,668.3223010857765,363.8015875356566,136.2876536792922,0.013639309529878947,136.30129298882207,1572.65740752719
12,0,494.5543924362298,730.808279577402,131.0394739751036,0.04827857290439938,131.08775254800798,1759.6651588117709
12,1,292.78555487849235,441.88044159726036,138.25149031031944,0.09602347534100264,138.34751378566045,1768.8671221952754
12,2,653.7045020649449,366.18553353120774,137.4100274017591,0.0,137.4100274017591,1710.067434928949
13,0,483.5936415451719,724.6661366620519,128.98969185400924,0.18401351365348467,129.17370536766273,1888.8388641794336
13,1,304.6989996639746,434.4588137822212,133.90531925836876,0.0,133.90531925836876,1902.7724414536442
13,2,638.8487914677613,366.76674419769927,137.68871864663603,0.009312834488793074,137.69803148112481,1847.765466410074
14,0,482.4038574260205,710.16466053211,136.16001170836049,1.450809683863707,137.61082139222418,2026.4496855716577
14,1,310.13780079210466,447.06577712352174,132.69584030332018,0.1889436856731286,132.88478398899332,2035.6572254426376
14,2,643.9603939606775,370.0571707921305,136.95858480467442,0.0,136.95858480467442,1984.7240512147484
15,0,481.2752712245802,699.5231238441453,126.07720809576008,0.28936481793141444,126.3665729136915,2152.8162584853494
15,1,324.01915750498114,452.167632767752,137.30324908840552,0.0,137.30324908840552,2172.960474531043
15,2,630.4738856881206,371.6956146699478,132.1589912800273,0.011009872478191081,132.17000115250548,2116.894052367254
16,0,493.02741640542854,704.8907745796668,129.96831231844803,0.00814461051492105,129.97645692896296,2282.792715414312
16,1,324.3205161030904,467.15915281337595,138.3337339657457,0.3170171268213874,138.65075109256708,2311.61122562361
16,2,623.5139687645664,379.19690073702,125.94849471578883,0.0,125.94849471578883,2242.842547083043
17,0,491.462627609106,691.9445560608439,130.33029428236708,0.009366738789118763,130.3396610211562,2413.1323764354684
17,1,325.3351468762712,466.19125421859087,165.90719325044725,0.0,165.90719325044725,2477.5184188740573
17,2,612.7187890236764,387.6106801844786,132.53242680564074,0.03623859005392925,132.56866539569467,2375.4112124787375
18,0,498.19576441744465,679.5233284333359,134.29130381522356,0.7144010305319459,135.0057048457555,2548.138081281224
18,1,320.038969445597,479.9067576224658,136.88163891556482,0.0,136.88163891556482,2614.400057789622
18,2,610.3636682637483,386.9684646018885,160.99559512532633,0.0,160.99559512532633,2536.406807604064
19,0,504.56263697207703,666.6451836766131,135.32044458451603,0.0,135.32044458451603,2683.45852586574
19,1,334.2430652581873,482.74301674738996,135.85633575923436,0.0,135.85633575923436,2750.2563935488565
19,2,597.0443936587906,390.6505514836431,133.0365363584744,0.11092557080608204,133.14746192928047,2669.5542695333443
20,0,506.083322221798,660.8455623961408,137.42229678059758,0.25158976916304493,137.67388654976062,2821.1324124155003
20,1,345.42279817177734,480.83531420631857,126.65188669836317,0.0,126.65188669836317,2876.90828024722
20,2,609.8292936126911,386.34692359137887,131.81481801024393,0.267674619713827,132.08249262995776,2801.636762163302
21,0,512.3133734788087,647.5777641656683,136.66667106346455,0.01818118081533219,136.68485224427988,2957.81726465978
21,1,359.1948638458344,475.5313331456974,137.15105945578554,0.25594347506610104,137.40700293085163,3014.3152831780717
21,2,600.3088681101141,392.68225694059424,126.77480779093491,0.36420978583600516,127.13901757677093,2928.775779740073
22,0,519.8866016077325,635.9076238034755,133.4033484305154,0.9589387832385387,134.36228721375394,3092.179551873534
22,1,373.8360318251752,476.82650770133284,136.86145131005438,0.0,136.86145131005438,3151.176734488126
22,2,586.3579371025241,395.49658471830605,134.7315961625274,0.024986571707775622,134.7565827342352,3063.5323624743082
23,0,521.9087583995425,623.1388928235282,129.99166627808825,0.5461828619684204,130.53784914005666,3222.7174010135905
23,1,386.33514835820137,484.61615736535504,137.00344768788867,0.14775318414796393,137.15120087203664,3288.3279353601624
23,2,594.1139640356123,390.20874473888966,126.3649938547911,0.0,126.3649938547911,3189.8973563290992
24,0,513.6120545274235,614.6586686468869,127.45395881674868,0.01644317543825606,127.47040199218694,3350.1878030057774
24,1,399.607173905732,487.9129298390821,132.48974027293437,0.08708609340865552,132.57682636634303,3420.9047617265055
24,2,593.7332356229647,394.8843790781911,145.72208039852097,0.2621861834210238,145.984266581942,3335.881622911041
25,0,515.3341149325784,614.9512823477407,164.52914200136573,2.214245447898437,166.74338744926416,3516.9311904550414
25,1,404.57125422666763,492.66928489516187,133.01774298691717,0.0,133.01774298691717,3553.9225047134228
25,2,586.7930871241977,399.1402919598493,128.59770947269917,0.1754082671019105,128.77311773980108,3464.654740650842
26,0,514.671518000392,605.7689250207565,126.56622256183765,0.9655129138263226,127.53173547566396,3644.4629259307053
26,1,419.1612409904383,489.5933342727483,137.90755036251528,0.0,137.90755036251528,3691.830055075938
26,2,582.1417675592535,391.3261673763656,126.71196809307621,0.6641964282429172,127.37616452131913,3592.030905172161
27,0,529.1448769972924,603.0508896804276,136.99675130515118,0.0,136.99675130515118,3781.4596772358564
27,1,433.4888308848886,486.13003022877797,137.06398851651198,0.22927913887024765,137.29326765538224,3829.1233227313205
27,2,570.156887263056,397.69230910382413,132.10477438655846,0.4393348300739647,132.54410921663242,3724.5750143887935
28,0,525.2076106969292,590.9718104087734,129.35959535888495,0.43370246939615464,129.7932978282811,3911.2529750641374
28,1,433.7767919809094,500.57541843876913,135.69078757449014,0.1331710970168864,135.82395867150703,3964.9472814028277
28,2,577.1673469142946,403.79037051257296,126.46624817672806,0.10735690564869067,126.57360508237674,3851.14861947117
29,0,537.748384409973,598.6898256308402,136.99229993962973,0.020273412301611324,137.01257335193134,4048.2655484160687
29,1,447.83997389572716,501.4449866642253,134.12898303167944,0.11407868677551734,134.24306171845495,4099.190343121282
29,2,563.5211324638473,406.80992831340745,133.66135420430172,0.0,133.66135420430172,3984.809973675472
30,0,547.1358417035274,595.4811929884348,126.00330569991326,0.10434769470882187,126.10765339462208,4174.373201810691
