Step,UAV_ID,Pos_X,Pos_Y,Fly_Energy_J,Comp_Energy_J,Total_Energy_J,Cum_Energy_J
0,0,488.8151717640169,840.2581948990439,137.51675543631393,0.009691307579881006,137.5264467438938,137.5264467438938
0,1,207.64359284027358,333.90076459016103,133.58938617733094,0.0,133.58938617733094,133.58938617733094
0,2,788.176896596337,325.4418042222635,138.04814787238752,0.0638098228415517,138.11195769522908,138.11195769522908
1,0,482.1988114054089,828.2599469064747,132.58816712633444,0.07972022664237208,132.6678873529768,270.19433409687065
1,1,216.1517899786197,346.11749826669825,137.79096195750583,0.0,137.79096195750583,271.38034813483677
1,2,774.351995121378,325.54072507163,133.06141645050744,0.0,133.06141645050744,271.1733741457365
2,0,476.57984592622756,815.8157206924018,132.4101912614993,1.4249190368845508,133.83511029838385,404.0294443952545
2,1,221.0829923841541,360.13798939508615,137.6653862829138,0.0,137.6653862829138,409.04573441775057
2,2,759.5502162621019,327.28714066853865,137.87604303203406,0.03603021379112711,137.91207324582518,409.0854473915617
3,0,482.7042964869511,802.3077831057517,137.5117648110234,0.011814829344841385,137.52357964036824,541.5530240356227
3,1,234.70541460344205,366.03352519116044,137.57102089075016,0.16223373806397806,137.73325462881414,546.7789890465647
3,2,746.450804091141,329.9628112826713,131.39786630872854,0.0,131.39786630872854,540.4833137002902
4,0,475.92180904654543,790.1032444965981,133.60576950474302,0.05347432583429039,133.6592438305773,675.2122678662
4,1,232.5174465639246,380.8117859598999,138.052310625446,0.035021762872196195,138.0873323883182,684.8663214348828
4,2,734.7118495140678,330.77648037466554,127.28328429656463,0.0,127.28328429656463,667.7665979968548
5,0,462.5262947259746,783.8526870990848,137.26812394880528,0.5971862111669777,137.86531015997227,813.0775780261723
5,1,247.2197056666139,383.4927229598595,138.07940650879792,0.0,138.07940650879792,822.9457279436807
5,2,720.600110079575,332.98875065474664,134.9582460290617,0.0,134.9582460290617,802.7248440259165
6,0,453.3560087082422,773.4487433802253,133.23085918187013,0.10068119732767178,133.3315403791978,946.4091184053701
6,1,261.0941215307756,378.9395384913289,136.40464754529415,0.0,136.40464754529415,959.3503754889748
6,2,705.6969448679359,334.5894836751148,138.3047099643762,1.7197549645991326,140.02446492897533,942.7493089548918
7,0,441.23839517800445,766.4967124589227,133.63678555785677,0.05218414299707886,133.68896970085385,1080.098088106224
7,1,264.5660055330192,393.4468836831748,137.93930519417293,0.006443614177621937,137.94574880835054,1097.2961242973254
7,2,691.679701351818,337.0899092068253,134.75989572329522,0.0,134.75989572329522,1077.509204678187
8,0,427.4395197974735,760.9163130905742,137.77611569673778,0.03467267328606249,137.81078837002383,1217.9088764762478
8,1,278.3250625205216,397.838600269639,135.6666595088892,0.009050656979139102,135.67571016586834,1232.9718344631938
8,2,678.3011752902613,339.90958258694343,132.47883902430598,0.07679499863393657,132.55563402293993,1210.064838701127
9,0,423.43845246507686,750.7113964892039,126.2557871264913,0.0711155824320716,126.32690270892337,1344.2357791851712
9,1,289.574324564763,406.46433860953505,134.48996553228224,0.0,134.48996553228224,1367.461799995476
9,2,663.7603354861039,342.480947030303,137.19171763542187,0.20917497549978645,137.40089261092166,1347.4657313120485
10,0,415.6266940567315,738.6127919263591,135.4787134811897,0.016239545124249192,135.49495302631394,1479.730732211485
10,1,303.22788821206467,401.74016150212236,135.68850310940329,0.0,135.68850310940329,1503.1503031048792
10,2,650.8917157052141,346.5768431905268,131.86776367491436,0.033311420618058585,131.9010750955324,1479.366806407581
11,0,426.4967176885715,733.4965461773717,127.73885770285204,1.3152507027951474,129.05410840564718,1608.7848406171322
11,1,312.91957166930325,412.4992558349838,135.83831130134868,0.12237842012061342,135.9606897214693,1639.1109928263486
11,2,638.0968620560233,347.1754950910595,129.64822648658625,0.0,129.64822648658625,1609.0150328941672
12,0,437.644646638784,734.1480511271858,126.45038609507594,0.06121038290950507,126.51159647798545,1735.2964370951177
12,1,323.4480412308327,407.2781298355368,127.25745094850544,0.0,127.25745094850544,1766.368443774854
12,2,633.5924138998721,360.3864867991696,133.58661705774068,0.0,133.58661705774068,1742.6016499519078
13,0,442.8799866925734,721.662407337744,131.98964147698524,0.07440392264614823,132.0640453996314,1867.360482494749
13,1,332.22122074398663,419.2445285999523,137.5435326897736,0.0,137.5435326897736,1903.9119764646277
13,2,624.4466396962338,365.02685568351336,125.94893905703378,0.0015963980350457234,125.95053545506883,1868.5521854069766
14,0,434.4929023391992,710.0571444607602,135.11032442327124,0.23555788769939578,135.34588231097064,2002.7063648057197
14,1,338.9459175282765,423.19711394222907,129.56664574354673,0.0,129.56664574354673,2033.4786222081746
14,2,612.9565013767915,367.6435390005614,127.31292402561057,0.0085804255713201,127.3215044511819,1995.8736898581585
15,0,442.0108030277367,699.0255404923752,131.32925383693754,0.2874913343169563,131.6167451712545,2134.323109976974
15,1,350.31596865685566,432.7878596942855,137.72744495439218,0.7102589532673883,138.43770390765957,2171.916326115834
15,2,607.7644109383754,380.1503187941904,131.99989170087008,0.08165717363198272,132.08154887450206,2127.9552387326607
16,0,447.6236692757234,694.7806479803945,132.3241782738068,0.05711303800579788,132.38129131181262,2266.704401288787
16,1,356.33822033105946,435.0492488140796,135.0973310260472,0.0,135.0973310260472,2307.0136571418816
16,2,604.8114085168698,390.15584837539706,125.97265399214987,0.03774371366684538,126.01039770581671,2253.9656364384773
17,0,449.5893145726972,680.0407508021136,137.7052416374754,0.1929072730829921,137.8981489105584,2404.6025501993454
17,1,365.2211327643161,446.1884140588529,134.79820446296586,0.7196789408021153,135.51788340376797,2442.5315405456495
17,2,611.0997033296007,389.2376922761633,135.49219459753343,0.0,135.49219459753343,2389.4578310360107
18,0,444.11205134561555,670.4395372688556,126.33743080223302,0.33174886961358024,126.66917967184659,2531.271729871192
18,1,373.21751881708616,455.4426958699858,128.19242832334993,0.0,128.19242832334993,2570.7239688689992
18,2,623.3000806252592,388.6993170281592,128.15238337015853,0.048177512426192365,128.2005608825847,2517.6583919185955
19,0,454.6819414388481,674.9259187508451,126.83954162835828,0.02029535386097493,126.85983698221925,2658.131566853411
