Step,Sys_Time_Cost,Sys_Energy_J,Cum_Sys_Time_Cost,Cum_Sys_Energy_J,Objective_Value_Cost,mu_L,mu_E
0,20.568491638153947,391.36103186725,20.568491638153947,391.36103186725,216.24900757177895,1.0,0.5
1,21.88379503772592,382.75485994980954,42.45228667587987,774.1158918170595,213.2612250126307,1.0,0.5
2,19.245291329327067,390.4369471912775,61.697578005206935,1164.552839008337,214.46376492496583,1.0,0.5
3,24.197976288793313,432.9483208406186,85.89555429400025,1597.5011598489557,240.6721367091026,1.0,0.5
4,17.156881924013447,384.2735931099983,103.0524362180137,1981.774752958954,209.29367847901258,1.0,0.5
5,22.521958144832404,425.8942683356796,125.5743943628461,2407.6690212946337,235.46909231267222,1.0,0.5
6,23.202009110177308,408.55703869679047,148.7764034730234,2816.2260599914243,227.48052845857254,1.0,0.5
7,15.982587807989185,382.44945992592227,164.75899128101258,3198.6755199173467,207.2073177709503,1.0,0.5
8,22.232573700433132,389.75424316555547,186.99156498144572,3588.4297630829024,217.10969528321087,1.0,0.5
9,25.045499397093554,398.20364618097153,212.03706437853927,3986.633409263874,224.14732248757932,1.0,0.5
10,16.180638164089967,390.6066312050479,228.21770254262924,4377.2400404689215,211.48395376661392,1.0,0.5
11,21.93284251893554,414.7170801320835,250.15054506156477,4791.957120601005,229.29138258497727,1.0,0.5
12,23.586093551332723,397.92243792572475,273.7366386128975,5189.87955852673,222.54731251419508,1.0,0.5
13,30.866531431251836,384.13001096489285,304.6031700441493,5574.009569491623,222.93153691369827,1.0,0.5
14,24.7822718284832,413.0855959113677,329.3854418726325,5987.0951654029905,231.32506978416706,1.0,0.5
15,18.734078633620605,438.83579014905916,348.1195205062531,6425.930955552049,238.1519737081502,1.0,0.5
16,21.558739364549787,428.80685656280923,369.6782598708029,6854.737812114859,235.9621676459544,1.0,0.5
17,28.95071009509288,397.61463538044745,398.62896996589575,7252.3524474953065,227.7580277853166,1.0,0.5
18,18.68601589310959,407.3901220524548,417.31498585900533,7659.742569547761,222.38107691933698,1.0,0.5
