Step,Sys_Time_Cost,Sys_Energy_J,Cum_Sys_Time_Cost,Cum_Sys_Energy_J,Objective_Value_Cost,mu_L,mu_E
0,33.8681016636167,452.46047320346935,33.8681016636167,452.46047320346935,260.09833826535134,1.0,0.5
1,42.50929343349881,464.42521421075753,76.37739509711551,916.8856874142268,274.72190053887755,1.0,0.5
2,39.14013466876747,445.44474094119846,115.51752976588298,1362.3304283554253,261.8625051393667,1.0,0.5
3,74.41156245253828,448.66916722985377,189.92909221842126,1810.9995955852792,298.74614606746513,1.0,0.5
4,31.525282287396045,399.72582807315695,221.4543745058173,2210.7254236584363,231.3881963239745,1.0,0.5
5,38.27682990389132,395.4194384833844,259.7312044097086,2606.144862141821,235.98654914558352,1.0,0.5
6,34.50647665385405,461.5126300994493,294.23768106356266,3067.65749224127,265.2627917035787,1.0,0.5
7,74.0699694859212,458.37205604431335,368.30765054948387,3526.0295482855836,303.2559975080779,1.0,0.5
8,58.29996695081125,413.9922898681795,426.60761750029513,3940.021838153763,265.296111884901,1.0,0.5
9,59.91335777691404,402.3816773196671,486.5209752772092,4342.40351547343,261.1041964367476,1.0,0.5
10,21.177247435525462,393.8211690816274,507.69822271273466,4736.224684555057,218.08783197633915,1.0,0.5
11,26.797191993365434,398.86865973651487,534.4954147061001,5135.093344291572,226.23152186162287,1.0,0.5
12,39.89848725497319,431.0946626096192,574.3939019610732,5566.188006901191,255.4458185597828,1.0,0.5
13,26.335672944022026,433.7057092595793,600.7295749050952,5999.893716160771,243.18852757381168,1.0,0.5
14,19.649948187331233,425.3636699604587,620.3795230924264,6425.2573861212295,232.3317831675606,1.0,0.5
15,24.613288626400625,400.0538351907182,644.992811718827,6825.3112213119475,224.6402062217597,1.0,0.5
16,47.7225019139869,447.84816744586783,692.715313632814,7273.159388757816,271.6465856369208,1.0,0.5
17,24.72351385249251,398.3823592895448,717.4388274853064,7671.541748047361,223.91469349726492,1.0,0.5
18,26.456395328838315,394.37321569844397,743.8952228141447,8065.914963745805,223.6430031780603,1.0,0.5
19,57.4262334978687,465.58294356298495,801.3214563120134,8531.49790730879,290.21770527936116,1.0,0.5
20,27.125532354762257,421.05067258167617,828.4469886667757,8952.548579890466,237.65086864560033,1.0,0.5
21,32.356412589408066,396.15315832616903,860.8034012561837,9348.701738216636,230.43299175249257,1.0,0.5
22,45.089419755227446,419.67167164474887,905.8928210114112,9768.373409861384,254.9252555776019,1.0,0.5
23,20.388682605396937,386.05838021721735,926.2815036168082,10154.4317900786,213.41787271400563,1.0,0.5
24,22.607822558343642,425.58243439275475,948.8893261751518,10580.014224471355,235.399039754721,1.0,0.5
25,36.354897572198965,417.7861830757773,985.2442237473508,10997.800407547133,245.2479891100876,1.0,0.5
26,37.82112010005342,418.59835569232246,1023.0653438474043,11416.398763239455,247.12029794621463,1.0,0.5
27,23.300221470706845,457.82779349266275,1046.365565318111,11874.226556732117,252.21411821703822,1.0,0.5
28,25.1706626099468,416.72781028931894,1071.5362279280578,12290.954367021437,233.53456775460626,1.0,0.5
29,20.67118479968352,449.8431695076208,1092.2074127277413,12740.797536529059,245.59276955349392,1.0,0.5
30,35.66351565442537,428.4792063018466,1127.8709283821665,13169.276742830905,249.90311880534867,1.0,0.5
31,31.80205520095694,397.9452407884753,1159.6729835831234,13567.22198361938,230.7746755951946,1.0,0.5
32,20.38124999505628,405.5254634195491,1180.0542335781797,13972.74744703893,223.14398170483082,1.0,0.5
33,51.89925794633159,400.4084008236798,1231.9534915245113,14373.15584786261,252.1034583581715,1.0,0.5
34,29.836537953102372,420.2320941796002,1261.7900294776136,14793.38794204221,239.95258504290248,1.0,0.5
35,46.90042380919537,391.7078152707097,1308.690453286809,15185.09575731292,242.75433144455022,1.0,0.5
36,38.027019281067616,425.65582870805514,1346.7174725678767,15610.751586020975,250.8549336350952,1.0,0.5
37,21.508245900678304,404.3243249781006,1368.225718468555,16015.075910999076,223.6704083897286,1.0,0.5
38,49.62298077212508,413.52995119146397,1417.8486992406802,16428.60586219054,256.38795636785704,1.0,0.5
39,22.71015489494761,457.83243738167766,1440.5588541356278,16886.43829957222,251.62637358578644,1.0,0.5
40,51.57243754988558,418.3168270931587,1492.1312916855134,17304.75512666538,260.7308510964649,1.0,0.5
41,55.91058558803384,411.8372997462561,1548.0418772735472,17716.592426411637,261.8292354611619,1.0,0.5
42,64.10613471136577,427.40936122460823,1612.148011984913,18144.001787636244,277.8108153236699,1.0,0.5
43,30.886638893253327,426.9281389312834,1643.0346508781663,18570.929926567525,244.35070835889502,1.0,0.5
44,24.11524763608963,430.1379395881251,1667.149898514256,19001.067866155652,239.1842174301522,1.0,0.5
45,30.95708203945551,397.9569256650632,1698.1069805537115,19399.024791820717,229.9355448719871,1.0,0.5
46,35.960574909746974,431.29308857996455,1734.0675554634586,19830.317880400682,251.60711919972925,1.0,0.5
47,27.460492643453932,393.9029421269669,1761.5280481069126,20224.220822527648,224.41196370693737,1.0,0.5
