Step,User_ID,Latency_s,Association,Offload_Ratio,Allocated_Freq_Hz,Energy_J,Cum_Energy_J
0,0,2.543998331044503,UAV_0,0.01499067004516769,786510016.0,0.3129054474681782,0.3129054474681782
0,1,1.377639581683494,UAV_2,0.10449815958593704,3042361856.0,0.26005294551772407,0.26005294551772407
0,2,1.6976052448952965,Local,0.0,0.0,0.16976052448952964,0.16976052448952964
0,3,3.251277174927566,UAV_1,0.002932640496955499,10245969.0,0.3323010691654411,0.3323010691654411
0,4,0.8874892284151394,Local,0.0,0.0,0.08874892284151394,0.08874892284151394
0,5,3.1835222308710955,Local,0.0,0.0,0.3183522230871096,0.3183522230871096
0,6,1.2885907738440876,Local,0.0,0.0,0.12885907738440874,0.12885907738440874
0,7,3.137958895508843,Local,0.0,0.0,0.3137958895508843,0.3137958895508843
0,8,1.4659330089086313,UAV_0,0.02584807575457395,2857710336.0,0.17602157787201306,0.17602157787201306
0,9,3.109589242005262,Local,0.0,0.0,0.31095892420052623,0.31095892420052623
1,0,1.23347418771228,Local,0.0,0.0,0.12334741877122796,0.4362528662394062
1,1,1.6808499866881117,Local,0.0,0.0,0.16808499866881116,0.4281379441865352
1,2,1.715697698322888,Local,0.0,0.0,0.17156976983228878,0.3413302943218184
1,3,2.925909647961613,Local,0.0,0.0,0.29259096479616126,0.6248920339616024
1,4,2.873774374472421,Local,0.0,0.0,0.28737743744724215,0.37612636028875607
1,5,0.8711015805808029,UAV_2,0.04574933850835283,333374912.0,0.15343087511585082,0.4717830982029604
1,6,2.6629377759010664,Local,0.0,0.0,0.2662937775901066,0.39515285497451536
1,7,1.9734995570234823,Local,0.0,0.0,0.1973499557023482,0.5111458452532325
1,8,1.731442718718677,Local,0.0,0.0,0.1731442718718677,0.34916584974388076
1,9,3.4053357690908514,UAV_2,0.00654644320209499,4245530.5,0.2304720252934272,0.5414309494939534
2,0,4.418273131197034,Local,0.0,0.0,0.44182731311970336,0.8780801793591095
2,1,0.6546505631115479,Local,0.0,0.0,0.06546505631115479,0.49360300049769
2,2,2.7047460028142045,Local,0.0,0.0,0.27047460028142045,0.6118048946032388
2,3,2.358159128374931,Local,0.0,0.0,0.23581591283749304,0.8607079467990955
2,4,2.9901157994505905,Local,0.0,0.0,0.299011579945059,0.6751379402338151
2,5,1.3241048813637615,UAV_1,0.0227955659629046,1929858816.0,0.1598552754253133,0.6316383736282737
2,6,1.8206434784346488,Local,0.0,0.0,0.18206434784346487,0.5772172028179803
2,7,1.5285870482683634,UAV_0,0.011948920910914797,145476752.0,0.17649397703450848,0.6876398222877409
2,8,0.8343732283995374,Local,0.0,0.0,0.08343732283995374,0.4326031725838345
2,9,1.3911588586310062,Local,0.0,0.0,0.13911588586310064,0.6805468353570541
3,0,2.4344908560316663,Local,0.0,0.0,0.24344908560316658,1.1215292649622761
3,1,0.8855508134336468,Local,0.0,0.0,0.08855508134336466,0.5821580818410547
3,2,1.6046763889725053,Local,0.0,0.0,0.16046763889725052,0.7722725335004894
3,3,3.6619655036558307,Local,0.0,0.0,0.3661965503655831,1.2269044971646785
3,4,1.0581704529467502,Local,0.0,0.0,0.105817045294675,0.7809549855284901
3,5,2.0200017529565533,Local,0.0,0.0,0.20200017529565534,0.8336385489239291
3,6,3.3456696212962007,Local,0.0,0.0,0.33456696212962006,0.9117841649476004
3,7,1.3551720406606669,Local,0.0,0.0,0.13551720406606668,0.8231570263538076
3,8,2.327347338755478,Local,0.0,0.0,0.23273473387554777,0.6653379064593823
3,9,2.607736200102067,Local,0.0,0.0,0.26077362001020665,0.9413204553672607
4,0,1.263307376557829,Local,0.0,0.0,0.1263307376557829,1.247860002618059
4,1,2.7145688880258705,UAV_2,0.017169763408633836,1441583488.0,0.28743995030651676,0.8695980321475714
4,2,1.4439724436009198,Local,0.0,0.0,0.14439724436009196,0.9166697778605813
4,3,0.9798752403755023,UAV_0,0.0007914606488465599,1259702784.0,0.0985612026311899,1.3254656997958685
4,4,1.4482632326855858,Local,0.0,0.0,0.14482632326855854,0.9257813087970486
4,5,4.665714604503735,Local,0.0,0.0,0.46657146045037357,1.3002100093743025
4,6,2.781592057050876,Local,0.0,0.0,0.27815920570508756,1.189943370652688
4,7,2.314255100024124,UAV_0,0.001813476893122116,4312136704.0,0.24877748704253014,1.0719345133963378
4,8,2.6512046545853067,UAV_0,0.00754186059809813,147332448.0,0.27710229499108324,0.9424402014504656
4,9,3.18718527300339,Local,0.0,0.0,0.3187185273003389,1.2600389826675995
5,0,2.1577867776007995,UAV_1,0.02610131494463983,67464544.0,0.2245898694678199,1.472449872085879
5,1,2.559668535543539,Local,0.0,0.0,0.2559668535543539,1.1255648857019254
5,2,3.580529492207592,Local,0.0,0.0,0.3580529492207592,1.2747227270813406
5,3,2.443878174791911,Local,0.0,0.0,0.24438781747919108,1.5698535172750596
5,4,1.2914964434442524,Local,0.0,0.0,0.12914964434442525,1.054930953141474
5,5,1.0824506618026073,UAV_0,0.17191387677748116,441838176.0,0.17025590787652917,1.4704659172508316
5,6,1.729301752979456,Local,0.0,0.0,0.1729301752979456,1.3628735459506336
5,7,1.3612502584687831,UAV_0,0.0009069212568734328,272968704.0,0.13852735792198617,1.210461871318324
5,8,3.4887942214069274,Local,0.0,0.0,0.34887942214069273,1.2913196235911584
5,9,1.3323645259408887,Local,0.0,0.0,0.13323645259408887,1.3932754352616883
6,0,4.077080321879424,Local,0.0,0.0,0.4077080321879424,1.8801579042738212
6,1,2.0318934302656984,Local,0.0,0.0,0.2031893430265698,1.3287542287284952
6,2,1.2763798102039665,Local,0.0,0.0,0.12763798102039664,1.4023607081017373
6,3,1.6728114317376355,Local,0.0,0.0,0.16728114317376352,1.7371346604488231
6,4,1.5797651566219812,Local,0.0,0.0,0.1579765156621981,1.212907468803672
6,5,2.891882676127172,Local,0.0,0.0,0.2891882676127172,1.7596541848635487
6,6,2.2799319650707104,Local,0.0,0.0,0.227993196507071,1.5908667424577045
6,7,1.8413982415767245,UAV_0,0.00033306691156367635,1748705920.0,0.18494564100954006,1.395407512327864
6,8,3.207417623470447,Local,0.0,0.0,0.3207417623470446,1.612061385938203
6,9,2.175034782165374,Local,0.0,0.0,0.21750347821653737,1.6107789134782258
7,0,2.2454161181736363,UAV_0,0.013167556120810412,52891996.0,0.2497554429753088,2.12991334724913
7,1,1.4100834153554063,UAV_2,0.1142782157352001,468510752.0,0.20334761436950818,1.5321018430980033
7,2,3.0258867994883314,Local,0.0,0.0,0.3025886799488331,1.7049493880505704
7,3,1.8979345459786463,Local,0.0,0.0,0.18979345459786462,1.9269281150466877
7,4,1.3697027725825948,Local,0.0,0.0,0.13697027725825947,1.3498777460619316
7,5,1.5649440728332071,Local,0.0,0.0,0.1564944072833207,1.9161485921468695
7,6,2.096899139966074,Local,0.0,0.0,0.20968991399660739,1.8005566564543118
7,7,2.190283693577896,UAV_0,0.0005781898277538897,30793384.0,0.22330948335392709,1.618716995681791
7,8,1.4272247105973792,UAV_0,0.0077872757103038355,638672064.0,0.14668741898559176,1.7587488049237947
7,9,4.4464660228602,Local,0.0,0.0,0.44464660228601993,2.0554255157642456
8,0,2.8329306156313696,Local,0.0,0.0,0.28329306156313694,2.413206408812267
8,1,1.1883841946855573,Local,0.0,0.0,0.11883841946855571,1.650940262566559
8,2,2.2947031700158123,Local,0.0,0.0,0.22947031700158124,1.9344197050521517
8,3,3.0965320971355865,Local,0.0,0.0,0.30965320971355864,2.2365813247602464
8,4,2.4294502293682014,Local,0.0,0.0,0.2429450229368201,1.5928227689987517
8,5,1.988887348875821,UAV_0,0.005105102533891207,71208256.0,0.2001312868229915,2.116279878969861
8,6,1.4052753587330877,Local,0.0,0.0,0.14052753587330877,1.9410841923276205
8,7,1.9815453619471204,Local,0.0,0.0,0.19815453619471202,1.8168715318765032
8,8,2.740437044795711,Local,0.0,0.0,0.27404370447957105,2.032792509403366
8,9,15.0,UAV_0,0.28120890747113453,20942928.0,0.3069923990970508,2.3624179148612963
9,0,1.6818296057187923,Local,0.0,0.0,0.1681829605718792,2.581389369384146
9,1,2.4716996226053465,UAV_2,0.049005402207650636,3331295744.0,0.28199246646865883,1.9329327290352178
9,2,0.8853775028990925,Local,0.0,0.0,0.08853775028990923,2.022957455342061
9,3,3.680394857541819,Local,0.0,0.0,0.3680394857541819,2.604620810514428
9,4,1.936563922852459,Local,0.0,0.0,0.1936563922852459,1.7864791612839976
9,5,1.6766707797389044,Local,0.0,0.0,0.16766707797389044,2.283946956943751
9,6,1.3781963360421943,Local,0.0,0.0,0.13781963360421942,2.0789038259318398
9,7,3.230580715302161,Local,0.0,0.0,0.32305807153021604,2.1399296034067192
9,8,0.933827406665231,UAV_2,0.028245942310641176,3023355392.0,0.10620048374790445,2.13899299315127
