Step,Sys_Time_Cost,Sys_Energy_J,Cum_Sys_Time_Cost,Cum_Sys_Energy_J,Objective_Value_Cost,mu_L,mu_E
0,19.086958495411746,388.54169211006376,19.086958495411746,388.54169211006376,213.35780455044363,1.0,0.5
1,24.258731608893477,413.5468465711016,43.34569010430522,802.0885386811653,231.03215489444426,1.0,0.5
2,14.285795668549357,401.3458893463997,57.631485772854575,1203.434428027565,214.9587403417492,1.0,0.5
3,24.564853182603002,405.8184162151197,82.19633895545758,1609.2528442426847,227.47406129016287,1.0,0.5
4,23.043901018265018,407.03890789632766,105.2402399737226,2016.2917521390123,226.56335496642885,1.0,0.5
5,23.277646101614938,411.6537798496704,128.51788607533754,2427.945531988683,229.10453602645015,1.0,0.5
6,24.763540221189317,393.41564610369323,153.28142629652686,2821.361178092376,221.47136327303593,1.0,0.5
7,17.732559660733497,405.0246813658792,171.01398595726036,3226.3858594582553,220.2449003436731,1.0,0.5
8,22.08389220234418,400.86397805741046,193.09787815960453,3627.2498375156656,222.5158812310494,1.0,0.5
9,24.846746592637416,409.80842896307746,217.94462475224196,4037.058266478743,229.75096107417613,1.0,0.5
10,22.561101634631427,387.0490731166527,240.5057263868734,4424.107339595395,216.0856381929578,1.0,0.5
11,19.67693041907782,401.68575226454357,260.1826568059512,4825.793091859939,220.5198065513496,1.0,0.5
12,24.25560195152887,389.9722966935928,284.43825875748007,5215.765388553531,219.24175029832526,1.0,0.5
13,24.2494589948215,398.7007393594282,308.6877177523016,5614.46612791296,223.59982867453562,1.0,0.5
14,24.03223723471907,408.6066695387815,332.7199549870206,6023.072797451741,228.33557200410982,1.0,0.5
15,21.65928191462558,402.4608000361737,354.3792369016462,6425.533597487915,222.88968193271242,1.0,0.5
16,25.026156286053457,414.7569607710815,379.40539318769964,6840.2905582589965,232.4046366715942,1.0,0.5
17,16.324371870010317,419.788826731864,395.72976505771,7260.0793849908605,226.2187852359423,1.0,0.5
18,22.71374600178275,387.81128705004255,418.4435110594927,7647.890672040903,216.619389526804,1.0,0.5
19,27.917759428913698,402.3009656962386,446.36127048840643,8050.191637737142,229.068242277033,1.0,0.5
20,30.536115371832757,390.33195352965106,476.8973858602392,8440.523591266792,225.70209213665828,1.0,0.5
21,20.794986509594224,381.8250154441981,497.6923723698334,8822.34860671099,211.70749423169326,1.0,0.5
22,22.060155952364166,393.1497436732535,519.7525283221976,9215.498350384243,218.63502778899093,1.0,0.5
23,36.541169202938796,410.180966982845,556.2936975251364,9625.679317367089,241.6316526943613,1.0,0.5
24,32.03300701901612,415.1083933196716,588.3267045441526,10040.78771068676,239.58720367885192,1.0,0.5
25,24.075408240842737,406.75232627501936,612.4021127849953,10447.54003696178,227.4515713783524,1.0,0.5
26,24.34417438488526,399.62398858344375,636.7462871698806,10847.164025545224,224.15616867660714,1.0,0.5
27,35.344999623370164,401.07468767257234,672.0912867932508,11248.238713217796,235.88234345965634,1.0,0.5
28,26.275225072359376,393.95709347828904,698.3665118656102,11642.195806696085,223.2537718115039,1.0,0.5
