Step,Sys_Time_Cost,Sys_Energy_J,Cum_Sys_Time_Cost,Cum_Sys_Energy_J,Objective_Value_Cost,mu_L,mu_E
0,55.18940912869254,447.527099281354,55.18940912869254,447.527099281354,278.95295876936956,1.0,0.5
1,38.150067428077385,449.43550020883026,93.33947655676992,896.9625994901843,262.8678175324925,1.0,0.5
2,30.996153210295134,422.48006727585954,124.33562976706506,1319.4426667660439,242.23618684822492,1.0,0.5
3,84.76960779978177,414.3949199391022,209.10523756684682,1733.8375867051461,291.96706776933286,1.0,0.5
4,71.44251684677742,439.3682915911843,280.54775441362426,2173.2058782963304,291.1266626423696,1.0,0.5
5,61.672795871293324,456.09796856177763,342.2205502849176,2629.303846858108,289.72178015218213,1.0,0.5
6,64.75754935550147,424.5910806817787,406.97809964041903,3053.894927539887,277.0530896963908,1.0,0.5
7,74.79359600845187,454.5602756957807,481.7716956488709,3508.4552032356673,302.07373385634224,1.0,0.5
8,52.57610092942261,418.1960763553391,534.3477965782935,3926.6512795910066,261.6741391070922,1.0,0.5
9,57.176158630172786,413.6630741607275,591.5239552084663,4340.314353751734,264.00769571053655,1.0,0.5
10,47.70541041130809,418.3821387300344,639.2293656197744,4758.6964924817685,256.8964797763253,1.0,0.5
11,39.45702562632028,397.02561317965893,678.6863912460947,5155.722105661427,237.96983221614974,1.0,0.5
12,63.27450220105968,407.7739397735551,741.9608934471544,5563.496045434982,267.16147208783724,1.0,0.5
13,79.3899790594688,427.69705754181666,821.3508725066232,5991.193102976798,293.2385078303771,1.0,0.5
14,107.81399841523026,417.18201369013934,929.1648709218534,6408.375116666938,316.40500526029996,1.0,0.5
15,65.3595134824269,420.9430927933736,994.5243844042803,6829.318209460312,275.8310598791137,1.0,0.5
16,47.040230568871124,439.52505087145096,1041.5646149731515,7268.843260331762,266.80275600459663,1.0,0.5
17,82.66668365986129,440.56054503788107,1124.2312986330128,7709.403805369643,302.9469561788018,1.0,0.5
18,80.44176838837272,443.26209059996023,1204.6730670213856,8152.665895969603,302.0728136883528,1.0,0.5
19,73.45031795654839,430.6092745388656,1278.123384977934,8583.275170508468,288.7549552259812,1.0,0.5
20,71.5359391558377,424.585313454195,1349.6593241337716,9007.860483962664,283.8285958829352,1.0,0.5
21,51.95979418589846,405.13998388127357,1401.6191183196702,9413.000467843938,254.52978612653524,1.0,0.5
22,69.95962524292517,423.2093495480911,1471.5787435625953,9836.20981739203,281.5643000169707,1.0,0.5
23,85.68915072313612,444.8644796078518,1557.2678942857315,10281.074296999881,308.12139052706203,1.0,0.5
24,77.83411686258329,402.30372081363714,1635.1020111483147,10683.378017813518,278.9859772694019,1.0,0.5
25,47.8949400670651,417.8510620468777,1682.9969512153798,11101.229079860395,256.82047109050393,1.0,0.5
26,34.57355572243916,443.4646832777841,1717.570506937819,11544.693763138179,256.30589736133123,1.0,0.5
27,43.564515690547125,392.9924358818381,1761.135022628366,11937.686199020018,240.06073363146618,1.0,0.5
28,35.378152083109796,413.51968351730653,1796.5131747114758,12351.205882537324,242.13799384176306,1.0,0.5
29,52.37515478408682,392.6892073530896,1848.8883294955626,12743.895089890413,248.71975846063162,1.0,0.5
30,37.10949522126809,431.57582077365566,1885.9978247168308,13175.47091066407,252.89740560809594,1.0,0.5
31,63.13648502298997,418.8565977348016,1949.1343097398208,13594.32750839887,272.5647838903908,1.0,0.5
32,78.38953035305221,404.83149652824466,2027.523840092873,13999.159004927114,280.8052786171745,1.0,0.5
33,74.67876173074778,438.65153291258594,2102.2026018236206,14437.810537839701,294.00452818704076,1.0,0.5
34,65.75236065803387,406.6702460219688,2167.9549624816545,14844.48078386167,269.0874836690183,1.0,0.5
35,77.31083008888982,464.4695583530987,2245.2657925705444,15308.95034221477,309.54560926543917,1.0,0.5
36,49.00330640445943,420.4888225117407,2294.269098975004,15729.439164726511,259.2477176603298,1.0,0.5
37,54.112558780223466,435.7069864295108,2348.3816577552275,16165.146151156021,271.96605199497884,1.0,0.5
38,56.92629777943834,410.77204274621687,2405.307955534666,16575.91819390224,262.31231915254676,1.0,0.5
